Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,39.63,39.84,39.12,39.44,38.52,140014000
2019-01-02,38.72,39.71,38.56,39.48,38.56,148158800
2019-01-03,35.99,36.43,35.5,35.55,34.72,365248800
2019-01-04,36.13,37.14,35.95,37.06,36.2,234428400
2019-01-07,37.17,37.21,36.47,36.98,36.12,219111200
2019-01-08,37.39,37.96,37.13,37.69,36.81,164101200
2019-01-09,37.82,38.63,37.41,38.33,37.44,180396400
2019-01-10,38.12,38.49,37.72,38.45,37.56,143122800
2019-01-11,38.22,38.42,37.88,38.07,37.19,108092800
2019-01-14,37.71,37.82,37.31,37.5,36.63,129756800
2019-01-15,37.57,38.35,37.51,38.27,37.38,114843600
2019-01-16,38.27,38.97,38.25,38.74,37.83,122278800
2019-01-17,38.55,39.42,38.31,38.97,38.06,119284800
2019-01-18,39.38,39.47,38.99,39.21,38.29,135004000
2019-01-22,39.1,39.18,38.15,38.33,37.43,121576000
2019-01-23,38.54,38.78,37.92,38.48,37.59,92522400
2019-01-24,38.53,38.62,37.94,38.17,37.29,101766000
2019-01-25,38.87,39.53,38.58,39.44,38.52,134142000
2019-01-28,38.95,39.08,38.42,39.08,38.17,104768400
2019-01-29,39.06,39.53,38.53,38.67,37.77,166348800
2019-01-30,40.81,41.54,40.06,41.31,40.35,244439200
2019-01-31,41.53,42.25,41.14,41.61,40.64,162958400
2019-02-01,41.74,42.24,41.48,41.63,40.66,130672400
2019-02-04,41.85,42.92,41.82,42.81,41.82,125982000
2019-02-05,43.22,43.77,43.09,43.54,42.53,144406400
2019-02-06,43.66,43.89,43.21,43.56,42.55,112958400
2019-02-07,43.1,43.49,42.58,42.74,41.74,126966800
2019-02-08,42.25,42.67,42.1,42.6,41.79,95280000
2019-02-11,42.76,42.8,42.31,42.36,41.55,83973600
2019-02-12,42.53,42.75,42.42,42.72,41.91,89134000
2019-02-13,42.85,43.12,42.48,42.54,41.73,89960800
2019-02-14,42.43,42.81,42.35,42.7,41.89,87342800
2019-02-15,42.81,42.92,42.44,42.6,41.79,98507200
2019-02-19,42.43,42.86,42.37,42.73,41.92,75891200
