Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,86.09,86.54,84.97,85.83,82.4,1748400
2019-01-02,84.03,86.43,83.96,85.92,82.49,2523900
2019-01-03,82.99,84.35,80.55,80.73,77.5,4376600
2019-01-04,81.46,83.01,80.46,82.69,79.39,3470000
2019-01-07,82.54,84.19,82.08,83.21,79.88,2656300
2019-01-08,84.27,85.28,82.67,85.24,81.83,3993500
2019-01-09,85.82,88.5,85.82,87.4,83.91,3321600
2019-01-10,86.89,88.66,86.57,88.61,85.07,2042400
2019-01-11,88.07,91.11,88.07,90.06,86.46,3029800
2019-01-14,88.68,88.99,87.36,87.5,84.0,2239300
2019-01-15,87.66,88.54,87.01,87.61,84.11,1960500
2019-01-16,87.6,88.52,86.89,87.0,83.52,1667100
2019-01-17,86.51,88.85,85.44,88.81,85.26,2563000
2019-01-18,89.61,91.53,88.43,91.36,87.71,3471600
2019-01-22,90.57,90.75,88.21,89.13,85.57,2749500
2019-01-23,89.4,89.71,87.77,88.86,85.31,1590400
2019-01-24,90.53,95.5,90.53,94.75,90.96,6478700
2019-01-25,95.8,98.15,95.55,97.67,93.77,4301100
2019-01-28,94.95,97.7,94.86,97.34,93.45,2260100
2019-01-29,98.3,98.3,96.57,97.01,93.13,2171800
2019-01-30,97.57,99.44,97.11,99.01,95.05,2653700
2019-01-31,98.74,98.96,98.03,98.86,94.91,2588200
2019-02-01,99.17,100.63,98.84,100.54,96.52,3074200
2019-02-04,100.47,100.79,98.73,99.7,95.72,2541900
2019-02-05,99.54,100.51,99.05,100.4,96.39,2472600
2019-02-06,101.05,103.48,101.0,102.41,98.32,3279400
2019-02-07,101.32,102.1,99.54,100.63,96.61,3471800
2019-02-08,99.45,100.92,99.07,100.73,96.7,2407700
2019-02-11,102.4,102.65,101.02,101.75,97.68,2232300
2019-02-12,103.13,104.88,102.88,104.06,99.9,3693600
2019-02-13,104.43,105.09,103.47,104.42,100.25,2417100
2019-02-14,104.23,105.04,103.61,104.49,100.31,2971500
2019-02-15,105.37,105.83,104.29,105.74,101.51,2289400
2019-02-19,105.44,105.7,104.15,104.22,100.06,3722200
2019-02-20,105.1,108.28,104.71,106.82,102.55,4811700
2019-02-21,106.33,106.8,104.92,105.28,101.07,3518500
2019-02-22,106.08,106.33,105.19,105.91,101.68,2248000
2019-02-25,106.8,108.22,106.61,107.9,103.59,3987500
2019-02-26,107.36,107.86,106.8,107.18,102.9,2083400
2019-02-27,106.33,106.62,104.97,105.93,101.7,2617100
2019-02-28,104.95,107.22,104.95,106.96,103.21,3212300
2019-03-01,107.84,108.79,106.75,108.44,104.64,2821400
2019-03-04,109.0,109.48,106.76,108.66,104.85,2518100
2019-03-05,108.61,109.04,107.96,108.23,104.44,2843100
