Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,130.08,131.18,129.35,131.12,125.43,2509100
2019-01-02,129.16,130.78,128.61,130.14,124.49,2190100
2019-01-03,128.51,129.3,126.06,126.21,120.73,3854000
2019-01-04,128.39,131.39,127.54,131.24,125.54,2161300
2019-01-07,130.99,132.15,129.5,130.53,124.86,3455800
2019-01-08,131.48,132.43,129.06,131.3,125.6,2275600
2019-01-09,131.86,131.86,129.47,131.42,125.71,1844500
2019-01-10,130.52,132.58,130.51,132.46,126.71,2051900
2019-01-11,131.8,132.0,130.67,131.65,125.93,1185700
2019-01-14,130.16,131.65,130.0,130.9,125.22,1787800
2019-01-15,130.95,133.22,130.95,132.33,126.58,3286100
2019-01-16,132.66,133.55,131.84,132.76,127.0,2081000
2019-01-17,132.13,133.75,132.05,132.94,127.17,2194800
2019-01-18,134.25,135.38,133.04,135.18,129.31,2281000
2019-01-22,133.99,134.52,132.04,133.17,127.39,2908900
2019-01-23,133.62,134.63,132.65,134.42,128.58,1923000
2019-01-24,134.66,135.72,133.87,134.75,128.9,1903200
2019-01-25,136.02,136.74,135.26,136.41,130.49,1712000
2019-01-28,134.96,135.73,134.29,135.5,129.62,1930600
2019-01-29,135.37,135.88,133.76,134.0,128.18,1726500
2019-01-30,137.0,140.79,135.01,139.41,133.36,3734300
2019-01-31,138.83,141.15,138.13,139.84,133.77,5836600
2019-02-01,139.71,141.69,139.71,141.62,135.47,2940900
2019-02-04,141.73,143.69,141.39,143.63,137.39,2848000
2019-02-05,145.02,145.49,144.12,145.29,138.98,2802400
2019-02-06,145.0,146.09,144.6,145.54,139.22,2039600
2019-02-07,144.02,145.89,143.93,145.68,139.35,2638200
2019-02-08,144.32,146.85,144.04,146.81,140.44,1712000
2019-02-11,147.19,147.74,146.79,147.51,141.11,1949600
2019-02-12,148.71,149.93,148.27,149.5,143.01,2181800
2019-02-13,150.0,151.35,149.89,150.46,143.93,2136700
2019-02-14,149.63,150.0,148.07,148.15,141.72,2656900
2019-02-15,149.55,150.32,148.44,149.67,143.17,2862900
2019-02-19,149.02,150.55,149.02,150.31,143.78,1354800
2019-02-20,150.66,150.71,149.47,150.56,144.02,1622000
2019-02-21,150.14,151.5,149.61,150.98,144.42,1309200
2019-02-22,151.62,153.21,151.22,153.18,146.53,1608800
2019-02-25,154.06,154.55,152.23,152.49,145.87,1560900
2019-02-26,152.54,153.42,152.25,152.88,146.24,1400600
2019-02-27,152.08,153.4,151.66,152.98,146.34,1479000
2019-02-28,152.68,153.56,152.3,153.03,146.39,2241300
2019-03-01,154.25,154.41,153.15,153.9,147.22,1773300
2019-03-04,153.89,154.32,151.41,153.26,146.61,3966800
2019-03-05,153.45,153.6,152.35,152.66,146.03,2914000
2019-03-06,152.47,153.32,152.17,152.53,145.91,1643000
2019-03-07,151.35,151.98,150.12,150.42,144.64,2915300
2019-03-08,149.01,149.58,148.15,149.24,143.5,1928100
2019-03-11,149.88,151.19,149.03,151.09,145.28,1817100
2019-03-12,151.75,152.81,151.1,151.99,146.15,1796500
2019-03-13,152.71,153.98,152.21,152.84,146.97,1539300
2019-03-14,153.34,153.67,152.27,153.51,147.61,1840900
2019-03-15,153.01,155.36,152.66,155.31,149.34,5612200
2019-03-18,155.31,155.8,154.04,154.69,148.74,1716600
2019-03-19,155.0,155.18,153.82,154.63,148.69,1439800
2019-03-20,154.43,154.99,153.5,154.02,148.1,1974900
2019-03-21,153.44,156.04,153.44,155.34,149.37,1848300
2019-03-22,154.93,155.3,153.65,153.81,147.9,1659700
2019-03-25,153.48,154.21,152.76,153.75,147.84,1235200
2019-03-26,155.11,156.27,154.24,156.2,150.2,1473900
2019-03-27,156.42,157.26,154.99,156.79,150.76,1481400
2019-03-28,157.03,158.53,156.88,158.37,152.28,1412400
2019-03-29,159.49,159.91,158.61,159.74,153.6,2333900
2019-04-01,161.2,162.32,159.98,162.07,155.84,2489500
2019-04-02,162.54,162.71,160.83,161.44,155.23,987800
2019-04-03,162.45,162.45,160.49,161.1,154.91,1374700
2019-04-04,161.37,161.37,158.18,159.34,153.22,1682400
2019-04-05,160.07,160.42,159.15,160.34,154.18,1497800
2019-04-08,159.95,160.6,158.89,160.46,154.29,952100
2019-04-09,159.83,160.66,159.13,159.68,153.54,1238600
2019-04-10,160.13,160.82,159.67,160.42,154.25,998900
2019-04-11,161.03,161.76,160.42,161.67,155.46,1526000
2019-04-12,162.16,163.38,160.94,163.31,157.03,1014300
2019-04-15,163.03,163.86,162.61,163.68,157.39,987100
2019-04-16,164.41,164.41,161.53,162.14,155.91,1080800
2019-04-17,162.53,162.97,161.55,162.85,156.59,1145400
2019-04-18,163.73,163.73,162.08,162.44,156.2,1423800
2019-04-22,161.65,162.41,161.34,161.91,155.69,813900
2019-04-23,162.01,165.13,161.81,165.04,158.7,1467300
2019-04-24,165.24,165.5,163.48,163.5,157.22,1771000
2019-04-25,162.68,164.17,161.49,163.86,157.56,1406400
2019-04-26,164.43,164.43,162.69,163.7,157.41,911900
2019-04-29,163.86,164.25,162.58,162.99,156.73,1270000
2019-04-30,163.28,164.56,161.01,164.39,158.07,2007200
2019-05-01,161.0,161.2,154.71,157.48,151.43,3333900
2019-05-02,157.46,159.18,155.8,158.42,152.33,2178100
2019-05-03,159.69,160.63,158.51,160.19,154.03,1431500
2019-05-06,157.38,160.69,157.38,160.25,154.09,1328200
2019-05-07,158.16,160.95,157.34,158.35,152.26,2132300
2019-05-08,158.0,159.98,157.57,159.19,153.07,1410200
2019-05-09,158.0,161.02,157.78,160.57,154.4,1604800
2019-05-10,159.87,161.4,157.91,161.03,154.84,1661500
2019-05-13,158.41,159.73,157.0,157.26,151.22,1898900
2019-05-14,157.56,159.81,157.35,158.51,152.42,1905000
2019-05-15,157.67,159.77,157.1,159.37,153.24,2042200
2019-05-16,159.25,162.45,158.73,161.53,155.32,2243800
2019-05-17,160.39,162.08,159.85,161.72,155.5,2101100
2019-05-20,160.1,162.75,160.1,161.34,155.14,1593500
2019-05-21,162.44,163.54,161.5,163.0,156.73,1171800
2019-05-22,162.68,164.03,162.23,163.37,157.09,1098300
2019-05-23,161.74,162.3,160.12,161.13,154.94,1453800
2019-05-24,162.12,163.04,161.16,161.85,155.63,911900
2019-05-28,161.97,163.74,161.57,161.89,155.67,1425300
2019-05-29,161.09,161.19,158.94,159.87,153.72,1046100
2019-05-30,160.47,161.41,159.74,160.91,154.73,743500
2019-05-31,159.32,161.08,159.32,160.12,153.97,1091900
2019-06-03,160.55,161.42,155.26,156.0,150.0,2066900
2019-06-04,157.56,159.66,156.06,159.45,153.32,1550800
2019-06-05,160.11,162.78,160.1,162.65,156.4,1451700
2019-06-06,162.67,164.35,161.65,164.3,157.98,1280800
2019-06-07,165.01,167.87,164.94,166.92,160.5,1419300
2019-06-10,167.31,168.43,166.63,167.69,161.24,1283200
2019-06-11,168.53,168.87,164.36,165.11,158.76,1361600
2019-06-12,165.31,166.17,164.57,165.22,158.87,1076000
2019-06-13,165.21,165.62,163.33,164.45,158.89,1205200
2019-06-14,164.47,166.36,164.06,165.54,159.94,1458600
2019-06-17,166.09,166.49,165.29,165.94,160.33,1213200
2019-06-18,167.57,169.2,166.79,168.22,162.53,1716500
2019-06-19,168.28,168.87,166.69,168.25,162.56,1153100
2019-06-20,169.97,170.1,168.14,169.61,163.87,1192100
2019-06-21,169.4,170.45,168.02,168.16,162.47,2437000
2019-06-24,168.76,169.25,167.7,167.76,162.09,1514800
2019-06-25,168.06,168.06,165.1,165.52,159.92,1555800
2019-06-26,165.74,166.21,162.71,162.82,157.31,1271600
2019-06-27,163.69,164.22,162.1,164.01,158.46,1417900
2019-06-28,164.33,165.71,163.55,165.33,159.74,1947000
2019-07-01,167.62,167.82,165.52,166.39,160.76,1623600
2019-07-02,159.68,162.04,158.92,161.96,156.48,17110800
2019-07-03,163.0,164.18,161.53,164.09,158.54,1938800
2019-07-05,162.99,165.1,162.36,164.84,159.27,2001700
2019-07-08,164.58,164.7,163.69,164.07,158.52,1108700
2019-07-09,163.16,163.74,162.5,163.54,158.01,1703000
2019-07-10,164.28,164.7,162.66,164.54,158.98,1730000
2019-07-11,164.88,165.59,164.11,165.21,159.62,1958500
2019-07-12,164.95,165.45,163.98,165.13,159.55,2239500
2019-07-15,165.48,166.16,164.69,165.01,159.43,2064500
2019-07-16,165.05,165.85,164.03,164.2,158.65,1898700
2019-07-17,164.46,166.15,164.34,165.39,159.8,1885100
2019-07-18,165.33,167.92,164.71,167.77,162.1,1500700
2019-07-19,168.67,168.97,166.37,166.46,160.83,1434600
2019-07-22,166.98,168.37,166.26,167.14,161.49,1423100
2019-07-23,168.28,169.0,166.71,167.91,162.23,934600
2019-07-24,167.47,167.47,166.07,167.21,161.56,2063300
2019-07-25,166.95,167.97,166.62,167.06,161.41,1305100
2019-07-26,167.61,169.58,167.31,169.27,163.55,1035500
2019-07-29,169.13,169.13,167.67,167.91,162.23,1066000
2019-07-30,167.33,167.84,164.9,165.0,159.42,1934100
2019-07-31,172.0,172.0,164.95,166.52,160.89,4170900
2019-08-01,165.25,166.63,163.7,164.3,158.74,4099000
2019-08-02,163.99,165.61,161.79,164.27,158.71,2873700
2019-08-05,162.71,163.43,158.73,159.75,154.35,4644800
2019-08-06,160.03,163.9,159.81,163.39,157.86,2113900
2019-08-07,161.89,165.47,160.52,164.47,158.91,2139100
2019-08-08,166.01,170.39,165.54,170.32,164.56,2306700
2019-08-09,169.95,169.95,166.42,167.73,162.06,2105800
2019-08-12,167.41,167.6,165.12,165.87,160.26,1633200
2019-08-13,165.33,169.18,165.25,168.71,163.0,1303000
2019-08-14,166.46,167.61,163.74,163.84,158.3,2204500
2019-08-15,164.18,166.36,162.51,165.07,159.49,1670300
2019-08-16,166.82,168.06,166.42,167.02,161.37,1339600
2019-08-19,169.03,169.38,167.55,168.96,163.25,1125000
2019-08-20,168.59,169.79,167.64,167.88,162.2,1143400
2019-08-21,168.89,169.69,168.43,169.69,163.95,1235100
2019-08-22,169.55,170.71,167.29,169.53,163.8,1174400
2019-08-23,169.06,170.17,164.2,164.8,159.23,1685100
2019-08-26,166.65,166.98,164.99,166.81,161.17,1197500
2019-08-27,168.14,168.14,166.08,166.85,161.21,1595100
2019-08-28,165.95,167.49,164.72,167.22,161.56,1532100
2019-08-29,169.31,170.81,168.76,169.44,163.71,1186800
2019-08-30,170.71,170.92,169.03,169.84,164.1,1586200
2019-09-03,167.75,169.5,166.6,167.21,161.56,1528200
2019-09-04,168.53,170.09,168.5,169.71,163.97,1359900
2019-09-05,171.15,173.54,170.8,173.27,167.41,1742600
2019-09-06,173.74,174.5,173.02,173.25,167.39,4866000
2019-09-09,173.56,173.69,167.13,168.05,162.37,1670200
2019-09-10,166.94,168.03,161.61,164.33,158.77,2010100
2019-09-11,163.14,164.92,160.4,161.14,155.69,2659400
2019-09-12,161.16,162.79,160.15,160.41,155.75,2209200
2019-09-13,161.04,161.51,158.95,159.74,155.1,1906900
2019-09-16,158.9,159.74,157.75,158.17,153.57,2427900
2019-09-17,158.4,159.24,157.6,158.83,154.21,2600700
2019-09-18,158.33,158.86,156.04,157.77,153.19,1711900
2019-09-19,159.27,159.98,158.51,159.35,154.72,1854400
2019-09-20,159.22,160.81,158.75,159.3,154.67,2651100
2019-09-23,158.77,160.64,158.5,159.7,155.06,1732600
2019-09-24,160.12,162.44,158.77,160.03,155.38,2724800
2019-09-25,160.08,161.95,158.82,161.68,156.98,2361500
2019-09-26,162.24,163.95,161.7,163.27,158.53,2092900
2019-09-27,163.79,163.97,158.94,160.43,155.77,2067400
2019-09-30,160.83,162.1,160.75,161.42,156.73,1489400
2019-10-01,162.31,162.94,160.08,160.43,155.77,1809300
2019-10-02,158.97,159.24,155.48,156.62,152.07,2669100
2019-10-03,156.36,157.6,153.72,157.54,152.96,1620400
2019-10-04,158.13,159.42,157.9,159.17,154.54,1363400
2019-10-07,158.95,159.81,157.98,158.89,154.27,1006300
2019-10-08,157.55,158.35,155.84,156.32,151.78,1477600
2019-10-09,157.64,158.94,156.6,158.46,153.86,1657100
2019-10-10,157.93,160.97,157.86,160.72,156.05,1571200
2019-10-11,162.41,163.84,161.0,162.52,157.8,1989500
2019-10-14,162.65,163.81,162.12,162.46,157.74,1282500
2019-10-15,162.54,164.45,162.49,164.12,159.35,1327800
2019-10-16,163.74,164.45,162.06,164.16,159.39,1661500
2019-10-17,164.54,165.2,163.61,163.83,159.07,1091700
2019-10-18,164.33,164.45,162.92,163.54,158.79,1661800
2019-10-21,164.08,164.49,161.3,162.03,157.32,1714300
2019-10-22,162.35,163.29,159.46,159.49,154.86,1322400
2019-10-23,159.27,160.76,159.09,160.04,155.39,1707400
2019-10-24,160.95,162.64,160.1,162.54,157.82,1093200
2019-10-25,162.01,163.36,161.57,161.96,157.25,2200000
