Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,32.71,33.0,32.2,32.74,31.72,9697100
2019-01-02,32.04,33.79,32.0,33.48,32.44,11106300
2019-01-03,32.73,33.25,31.48,31.54,30.56,21580700
2019-01-04,32.26,33.85,32.21,33.7,32.65,15631800
2019-01-07,33.8,34.8,33.64,34.3,33.23,13868800
2019-01-08,34.72,34.72,32.67,32.91,31.89,12485300
2019-01-09,33.32,34.84,33.29,34.3,33.23,11757100
2019-01-10,34.08,34.82,33.89,34.76,33.68,7573600
2019-01-11,34.42,35.32,34.19,34.78,33.7,6449600
2019-01-14,34.19,34.3,33.41,33.86,32.81,9552400
2019-01-15,34.09,34.33,33.4,33.75,32.7,6593600
2019-01-16,33.92,34.27,33.56,33.64,32.59,6778900
2019-01-17,33.5,34.71,33.25,34.54,33.47,10260700
2019-01-18,34.96,36.32,34.63,35.71,34.6,11332700
2019-01-22,35.32,35.37,34.12,34.44,33.37,10047400
2019-01-23,34.71,34.94,33.71,34.31,33.24,9560200
2019-01-24,36.18,37.92,36.01,37.82,36.65,21529900
2019-01-25,38.53,39.48,38.31,39.19,37.97,17553400
2019-01-28,37.62,38.95,37.52,38.7,37.5,12459600
2019-01-29,39.27,39.35,37.84,38.2,37.01,8754600
2019-01-30,38.61,40.0,38.49,39.6,38.37,12546200
2019-01-31,39.28,39.75,38.72,39.08,37.87,11588900
2019-02-01,39.08,39.97,39.08,39.31,38.09,11091000
2019-02-04,39.16,39.31,38.45,38.9,37.69,12458400
2019-02-05,38.88,39.29,38.6,39.12,37.9,13240200
2019-02-06,39.29,40.71,39.2,40.28,39.03,21058100
2019-02-07,39.73,40.33,39.56,39.92,38.68,13395500
2019-02-08,39.3,39.8,38.73,39.78,38.54,9891300
2019-02-11,39.97,40.19,39.33,39.9,38.66,9969500
2019-02-12,40.38,40.89,40.28,40.69,39.43,8911900
2019-02-13,40.96,41.24,40.72,40.85,39.58,10134200
2019-02-14,40.7,41.22,40.51,40.71,39.45,13938400
2019-02-15,40.0,40.2,38.59,39.1,37.89,22396300
2019-02-19,39.0,39.71,39.0,39.3,38.08,12353100
2019-02-20,39.15,39.36,38.88,39.0,37.98,9575900
2019-02-21,39.0,39.26,38.53,38.83,37.82,7178800
2019-02-22,38.89,39.44,38.8,39.43,38.4,8149300
2019-02-25,39.92,40.08,39.62,39.66,38.62,8064800
2019-02-26,39.53,39.87,39.48,39.58,38.55,6159300
2019-02-27,39.3,39.32,38.3,38.78,37.77,14038500
2019-02-28,38.48,38.61,37.92,38.34,37.34,9785100
2019-03-01,38.66,38.94,38.06,38.56,37.55,7852900
2019-03-04,38.97,40.18,38.41,39.08,38.06,20810700
2019-03-05,39.18,39.25,38.76,38.93,37.91,12449100
2019-03-06,38.88,38.94,37.66,38.07,37.08,12557800
2019-03-07,37.95,37.95,37.05,37.57,36.59,9831700
2019-03-08,36.84,37.84,36.8,37.74,36.75,8174400
2019-03-11,37.95,38.89,37.81,38.51,37.5,7199500
2019-03-12,38.7,39.03,38.32,38.71,37.7,6267600
2019-03-13,38.94,39.1,38.56,38.6,37.59,6404400
2019-03-14,38.7,39.83,38.7,38.93,37.91,9491100
2019-03-15,39.35,41.03,39.3,40.39,39.34,23021500
2019-03-18,40.41,40.71,39.91,40.0,38.96,7670800
2019-03-19,40.2,40.74,40.17,40.37,39.32,7134500
2019-03-20,40.38,40.62,39.36,39.57,38.54,7772400
2019-03-21,39.79,41.99,39.78,41.33,40.25,13135700
2019-03-22,41.04,41.21,39.81,39.86,38.82,9468300
2019-03-25,39.69,40.13,39.07,39.4,38.37,6710200
2019-03-26,39.83,40.48,39.19,39.63,38.6,8138100
2019-03-27,39.67,39.91,38.57,38.93,37.91,7737600
2019-03-28,38.92,39.2,38.24,38.51,37.5,8298300
2019-03-29,39.06,39.85,39.0,39.66,38.62,9221500
2019-04-01,40.3,41.17,40.21,41.13,40.06,11731000
2019-04-02,41.0,41.22,40.61,40.99,39.92,8688600
2019-04-03,41.66,43.01,41.62,42.43,41.32,13204800
2019-04-04,42.07,42.83,42.02,42.62,41.51,8472800
2019-04-05,43.0,43.39,42.69,43.04,41.92,8502800
2019-04-08,42.93,43.01,42.11,42.92,41.8,6314200
2019-04-09,42.55,42.6,41.66,42.01,40.91,7412500
2019-04-10,41.91,42.34,41.73,42.17,41.07,5442400
2019-04-11,42.43,42.94,42.29,42.47,41.36,6577500
2019-04-12,43.0,43.36,42.77,42.99,41.87,4923500
2019-04-15,42.75,43.13,42.33,42.71,41.59,5739300
2019-04-16,43.1,44.15,43.05,43.72,42.58,9881100
2019-04-17,44.35,44.53,43.57,43.89,42.74,8290900
2019-04-18,44.01,44.27,43.79,43.95,42.8,6122100
2019-04-22,43.86,43.98,43.27,43.79,42.65,4672200
2019-04-23,43.8,43.99,43.4,43.83,42.69,6703900
2019-04-24,43.91,45.64,43.88,44.46,43.3,10613300
2019-04-25,45.16,45.75,44.3,44.45,43.29,9547000
2019-04-26,43.6,44.71,43.33,44.66,43.49,7203900
2019-04-29,44.57,44.91,44.2,44.24,43.08,5847300
2019-04-30,44.15,44.58,43.72,44.07,42.92,10447200
2019-05-01,44.04,44.67,43.38,43.38,42.25,9388100
2019-05-02,43.18,44.25,42.86,43.7,42.56,12709000
2019-05-03,44.03,44.15,43.61,43.96,42.81,7375400
2019-05-06,42.41,43.15,41.79,43.11,41.98,11824300
2019-05-07,42.26,42.42,41.2,42.05,40.95,9898300
2019-05-08,41.7,42.2,41.26,41.58,40.49,7709200
2019-05-09,40.77,41.19,39.85,40.94,39.87,11580600
2019-05-10,40.82,41.19,39.79,40.8,39.73,9025500
2019-05-13,39.26,39.64,38.67,39.09,38.07,10724700
2019-05-14,39.53,40.39,39.4,40.01,38.97,8370100
2019-05-15,40.41,41.86,40.11,41.5,40.42,12051000
2019-05-16,41.3,42.19,40.96,41.66,40.57,11932500
2019-05-17,43.35,44.36,42.57,42.7,41.59,20218200
2019-05-20,41.8,42.76,40.22,40.35,39.3,21371800
2019-05-21,41.18,41.36,40.82,41.27,40.19,8949900
2019-05-22,40.75,40.88,40.15,40.49,39.63,5897500
2019-05-23,39.65,40.08,39.15,39.94,39.1,8459800
2019-05-24,40.27,40.4,39.45,39.5,38.67,8541800
2019-05-28,39.81,40.03,39.0,39.01,38.19,10715500
2019-05-29,38.72,39.55,38.4,39.37,38.54,10137000
2019-05-30,39.45,40.4,39.29,39.75,38.91,7491700
2019-05-31,39.2,39.96,38.68,38.69,37.87,8394900
2019-06-03,38.97,39.66,38.54,38.78,37.96,7795300
2019-06-04,39.52,40.65,39.28,40.42,39.57,14138900
2019-06-05,40.8,41.17,40.16,40.59,39.73,10143400
2019-06-06,40.54,41.49,40.49,41.38,40.51,8101700
2019-06-07,41.6,41.88,41.08,41.51,40.63,6391200
2019-06-10,42.0,43.55,41.79,43.14,42.23,9651700
2019-06-11,43.91,44.55,43.64,43.75,42.83,10536500
