Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,191.93,195.8,191.61,194.67,183.84,2764800
2019-01-02,192.52,193.2,188.95,191.9,181.23,3009100
2019-01-03,192.15,194.18,188.67,188.98,178.47,3973900
2019-01-04,191.46,196.52,190.84,195.44,184.57,4193400
2019-01-07,194.76,199.36,194.0,198.07,187.05,3032500
2019-01-08,199.2,201.12,196.68,200.61,189.45,3290300
2019-01-09,202.36,202.9,199.63,200.37,189.23,2869700
2019-01-10,200.37,203.52,199.47,202.68,191.41,3131300
2019-01-11,200.64,200.99,198.0,200.56,189.41,3379700
2019-01-14,199.49,200.0,196.66,196.78,185.84,3378600
2019-01-15,196.3,199.99,196.04,199.38,188.29,2859800
2019-01-16,199.3,200.44,197.6,198.89,187.83,3302400
2019-01-17,198.38,202.53,197.98,201.92,190.69,2440200
2019-01-18,203.33,204.33,201.04,203.88,192.54,3095000
2019-01-22,202.62,203.48,200.78,201.98,190.75,3173100
2019-01-23,201.99,203.95,200.13,201.56,190.35,1917500
2019-01-24,201.61,202.4,199.74,200.97,189.79,2390800
2019-01-25,201.95,202.23,196.88,198.77,187.72,4383600
2019-01-28,194.97,194.97,190.01,191.95,181.27,4186200
2019-01-29,192.18,193.67,190.8,192.11,181.43,3182100
2019-01-30,188.89,189.76,179.65,184.86,174.58,8089100
2019-01-31,184.78,187.6,183.91,187.11,176.7,4397900
2019-02-01,186.51,187.83,185.56,187.07,176.67,2488900
2019-02-04,186.96,187.14,184.29,186.18,175.83,2930900
2019-02-05,186.2,189.06,185.72,188.31,177.84,4933300
2019-02-06,188.31,191.87,188.11,190.76,180.15,3322400
2019-02-07,190.67,190.67,182.67,184.23,173.98,4188100
2019-02-08,183.41,186.05,183.41,186.0,175.66,2601000
2019-02-11,186.79,187.11,185.51,185.79,175.46,2867300
2019-02-12,187.33,188.96,186.43,188.43,177.95,2412400
2019-02-13,189.22,190.12,188.4,188.98,178.47,2166000
2019-02-14,187.59,187.8,185.76,186.68,177.66,2611500
2019-02-15,188.07,189.1,185.99,188.34,179.24,3314600
2019-02-19,187.79,188.47,186.85,186.97,177.94,2267500
2019-02-20,187.19,189.22,186.48,186.92,177.89,3046400
2019-02-21,186.39,187.4,184.75,185.5,176.54,2947600
2019-02-22,185.89,188.86,185.81,187.5,178.44,2774100
2019-02-25,188.66,190.47,187.89,189.81,180.64,3182600
2019-02-26,189.56,191.65,189.36,190.08,180.9,2431000
2019-02-27,188.74,192.19,188.66,191.42,182.17,1886200
2019-02-28,191.38,191.63,189.73,190.08,180.9,2776200
2019-03-01,191.39,192.06,190.47,191.16,181.92,2409400
2019-03-04,191.82,192.12,187.41,189.78,180.61,2274800
2019-03-05,190.0,190.67,188.79,188.82,179.7,3445200
2019-03-06,188.88,189.37,182.43,183.15,174.3,3956100
2019-03-07,182.92,183.16,180.6,181.46,172.69,3421700
2019-03-08,180.6,181.31,179.01,180.87,172.13,2750900
2019-03-11,181.84,184.6,181.4,184.14,175.24,2816900
2019-03-12,184.61,184.95,183.52,184.18,175.28,2677500
2019-03-13,184.7,188.34,184.19,187.35,178.3,2719700
2019-03-14,187.53,188.86,185.89,187.76,178.69,2909600
2019-03-15,188.46,191.64,188.1,191.24,182.0,6865000
2019-03-18,191.08,192.52,190.19,191.31,182.07,2430200
2019-03-19,191.93,192.76,190.92,191.49,182.24,2268700
2019-03-20,191.5,192.77,189.87,191.12,181.89,2378700
2019-03-21,189.73,192.37,189.18,191.89,182.62,2292900
2019-03-22,190.96,192.87,186.55,186.7,177.68,3144700
2019-03-25,186.64,187.78,185.04,186.59,177.58,2523700
2019-03-26,187.55,189.59,187.03,188.27,179.17,2359100
2019-03-27,188.25,188.6,185.22,186.32,177.32,2022600
2019-03-28,187.08,187.89,186.0,187.65,178.58,1885600
2019-03-29,189.37,191.0,188.5,189.98,180.8,3189700
2019-04-01,191.14,192.56,190.51,191.77,182.5,2660500
2019-04-02,191.81,192.82,191.2,192.43,183.13,2141800
2019-04-03,193.18,193.87,191.71,192.92,183.6,1948100
2019-04-04,192.85,194.43,190.99,192.33,183.04,1785900
2019-04-05,193.88,196.87,193.3,195.41,185.97,2163300
2019-04-08,194.53,195.31,192.56,194.88,185.46,1629800
2019-04-09,193.59,194.0,192.51,192.98,183.66,1872600
2019-04-10,194.15,195.0,192.34,193.89,184.52,1653200
2019-04-11,194.57,194.79,190.65,192.11,182.83,2082600
2019-04-12,193.02,193.48,190.79,191.42,182.17,2060800
2019-04-15,191.84,193.18,189.85,191.2,181.96,2038300
2019-04-16,192.27,192.57,187.44,188.05,178.96,2727300
2019-04-17,188.35,188.74,181.53,182.47,173.65,5242100
2019-04-18,183.24,183.49,176.85,177.47,168.9,8266600
2019-04-22,177.1,177.57,174.87,176.36,167.84,3215800
2019-04-23,176.94,180.65,175.75,179.76,171.08,3471700
2019-04-24,180.14,180.83,178.26,178.3,169.69,2711600
2019-04-25,177.08,181.02,175.92,180.48,171.76,2453700
2019-04-26,180.7,181.85,180.03,181.47,172.7,2445400
2019-04-29,181.45,182.47,179.59,181.17,172.42,2662500
2019-04-30,181.63,182.04,177.88,179.32,170.66,3963000
2019-05-01,175.4,178.5,171.25,176.14,167.63,6109100
2019-05-02,176.06,178.3,174.3,176.5,167.97,3014000
2019-05-03,176.93,177.77,176.47,177.31,168.74,2944500
2019-05-06,175.49,177.24,173.88,177.06,168.51,2735000
2019-05-07,175.14,176.41,172.5,173.87,165.47,2797000
2019-05-08,173.5,175.5,171.7,172.15,163.83,3368400
2019-05-09,171.24,173.18,169.44,172.87,164.52,2854400
