Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,83.89,85.5,83.02,85.15,85.15,897900
2019-01-02,82.1,85.36,82.01,84.96,84.96,624800
2019-01-03,86.11,86.99,83.87,84.2,84.2,1004600
2019-01-04,85.45,88.23,85.04,87.1,87.1,1382600
2019-01-07,87.58,91.91,87.07,90.19,90.19,1435100
2019-01-08,90.95,92.81,89.21,92.3,92.3,1086300
2019-01-09,92.38,92.58,90.27,90.86,90.86,1194200
2019-01-10,90.55,94.35,90.0,93.94,93.94,971000
2019-01-11,93.82,95.11,93.09,94.46,94.46,659900
2019-01-14,93.79,94.4,93.0,93.15,93.15,929800
2019-01-15,93.24,96.28,92.65,94.93,94.93,867100
2019-01-16,94.84,97.6,94.84,95.71,95.71,615000
2019-01-17,95.24,98.53,95.24,97.51,97.51,736000
2019-01-18,98.3,98.52,95.64,97.69,97.69,1287400
2019-01-22,96.82,97.71,95.11,95.66,95.66,1434600
2019-01-23,95.6,96.42,92.33,93.58,93.58,1069100
2019-01-24,93.68,94.16,92.64,92.68,92.68,824000
2019-01-25,93.0,95.57,92.5,95.44,95.44,1239200
2019-01-28,94.37,94.88,91.5,93.19,93.19,746100
2019-01-29,93.55,94.31,92.34,94.18,94.18,577400
2019-01-30,94.23,97.14,93.53,96.97,96.97,707400
2019-01-31,97.19,98.75,96.92,98.17,98.17,621500
2019-02-01,98.0,98.77,97.22,98.62,98.62,898400
2019-02-04,98.35,98.81,97.29,98.4,98.4,471900
2019-02-05,98.63,100.13,97.28,97.58,97.58,762800
2019-02-06,97.7,97.94,95.61,95.95,95.95,742600
2019-02-07,95.53,95.84,92.95,93.76,93.76,778600
2019-02-08,93.23,94.69,93.01,94.28,94.28,603900
2019-02-11,94.35,94.69,92.06,92.65,92.65,789000
2019-02-12,93.47,95.4,93.35,95.23,95.23,767300
2019-02-13,95.71,96.85,94.74,95.25,95.25,708000
2019-02-14,95.2,95.72,92.79,93.47,93.47,831700
2019-02-15,94.18,94.6,93.22,93.99,93.99,1096200
2019-02-19,93.78,94.49,91.73,91.85,91.85,974100
2019-02-20,92.0,92.79,89.08,90.66,90.66,1232400
2019-02-21,90.12,91.33,88.52,88.81,88.81,1015200
2019-02-22,86.14,89.3,84.01,87.87,87.87,2367500
2019-02-25,93.38,95.0,90.94,91.36,91.36,2540100
2019-02-26,91.29,93.46,91.0,92.17,92.17,847700
2019-02-27,91.78,94.24,91.5,93.77,93.77,939000
2019-02-28,93.45,94.39,92.5,93.26,93.26,851300
2019-03-01,93.85,94.78,93.5,94.76,94.76,831500
2019-03-04,95.0,96.2,91.83,93.14,93.14,1087300
2019-03-05,93.14,94.61,92.05,92.68,92.68,715900
2019-03-06,92.51,92.51,90.5,91.05,91.05,938200
2019-03-07,90.78,92.15,89.21,91.31,91.31,957700
2019-03-08,90.44,91.38,89.6,89.99,89.99,701100
2019-03-11,89.71,91.41,88.7,91.27,91.27,633000
2019-03-12,91.45,94.02,91.21,93.04,93.04,669500
2019-03-13,94.05,95.32,93.08,95.16,95.16,934800
2019-03-14,95.26,95.85,94.42,94.5,94.5,741200
2019-03-15,94.4,94.79,93.12,94.53,94.53,1452900
2019-03-18,94.09,94.64,92.91,93.36,93.36,651100
2019-03-19,93.92,93.92,91.14,91.44,91.44,1091400
2019-03-20,91.42,91.82,89.76,89.96,89.96,956100
2019-03-21,89.48,91.2,88.81,90.78,90.78,1110900
2019-03-22,90.25,90.83,87.97,88.05,88.05,1009800
2019-03-25,87.86,88.73,86.62,88.55,88.55,1173100
2019-03-26,89.31,89.95,88.61,89.66,89.66,932400
2019-03-27,89.76,90.0,87.22,87.94,87.94,652600
2019-03-28,88.03,89.27,87.2,87.81,87.81,860100
2019-03-29,88.72,89.21,87.82,88.83,88.83,871100
2019-04-01,89.0,90.22,88.39,89.43,89.43,920200
2019-04-02,89.43,91.83,87.83,91.23,91.23,1409400
2019-04-03,91.83,92.42,91.04,91.89,91.89,1409000
2019-04-04,92.18,93.92,91.84,92.38,92.38,946400
2019-04-05,93.03,94.0,92.71,93.9,93.9,799300
2019-04-08,93.76,93.76,90.74,92.38,92.38,579800
2019-04-09,91.98,92.9,91.18,91.31,91.31,541000
2019-04-10,91.7,92.82,90.85,92.3,92.3,578600
2019-04-11,92.29,93.21,88.69,88.83,88.83,861700
2019-04-12,89.12,89.97,88.74,89.93,89.93,708200
2019-04-15,90.1,92.0,89.65,91.85,91.85,1245000
2019-04-16,92.26,92.81,88.17,88.51,88.51,1140000
2019-04-17,88.61,88.62,81.81,82.35,82.35,3080500
2019-04-18,83.46,84.47,81.22,83.16,83.16,2067800
2019-04-22,82.93,84.71,82.73,83.71,83.71,989100
2019-04-23,83.58,87.19,83.58,86.0,86.0,1303800
2019-04-24,86.16,86.16,84.57,85.49,85.49,937500
2019-04-25,85.25,85.49,84.0,85.31,85.31,1164400
2019-04-26,84.98,85.5,82.0,85.09,85.09,2133300
2019-04-29,84.98,86.39,84.6,85.73,85.73,1223000
2019-04-30,85.98,86.21,83.59,85.53,85.53,1079000
2019-05-01,85.62,86.92,84.07,84.18,84.18,1517200
2019-05-02,84.17,85.45,82.89,83.35,83.35,1150000
2019-05-03,83.83,84.57,82.9,84.1,84.1,934400
2019-05-06,82.55,84.21,82.32,83.47,83.47,1181000
2019-05-07,82.49,82.98,81.05,82.0,82.0,1922000
2019-05-08,82.5,82.99,81.6,82.72,82.72,1298100
2019-05-09,82.1,83.55,81.35,83.38,83.38,993700
2019-05-10,82.92,83.05,81.31,82.43,82.43,1241800
2019-05-13,81.01,81.76,79.79,80.35,80.35,1033100
2019-05-14,80.63,81.91,79.87,81.05,81.05,655400
2019-05-15,80.71,87.4,80.5,87.16,87.16,2645200
2019-05-16,87.76,90.61,87.75,89.67,89.67,2928400
2019-05-17,89.23,90.36,88.0,88.71,88.71,1590800
2019-05-20,87.89,87.89,86.2,86.66,86.66,974900
2019-05-21,87.28,88.58,86.72,87.47,87.47,884900
2019-05-22,87.2,88.28,86.21,87.69,87.69,1119700
2019-05-23,86.99,87.59,86.41,86.97,86.97,925300
2019-05-24,87.55,89.33,87.45,89.03,89.03,1086200
2019-05-28,89.84,89.84,84.12,84.5,84.5,5083500
2019-05-29,83.78,84.36,82.55,82.95,82.95,2099400
2019-05-30,83.04,84.17,82.71,83.38,83.38,1450900
2019-05-31,82.74,83.85,82.13,82.24,82.24,1240100
2019-06-03,82.5,83.87,81.76,82.07,82.07,1554300
2019-06-04,82.74,84.01,81.7,83.78,83.78,1477900
2019-06-05,84.06,84.38,83.04,83.59,83.59,1337200
2019-06-06,83.45,83.73,80.2,80.49,80.49,1754900
2019-06-07,81.1,81.25,79.83,80.64,80.64,3273600
2019-06-10,81.09,81.86,80.6,81.11,81.11,1735900
2019-06-11,81.42,81.86,80.08,81.09,81.09,1364100
2019-06-12,81.08,82.96,80.97,82.31,82.31,943600
2019-06-13,82.59,83.15,81.93,82.36,82.36,838300
2019-06-14,82.12,83.03,80.54,80.84,80.84,773300
2019-06-17,81.08,84.81,81.05,84.17,84.17,1380300
2019-06-18,85.0,86.63,84.37,85.51,85.51,975400
2019-06-19,85.39,86.42,84.58,85.02,85.02,719900
2019-06-20,85.89,87.83,85.49,86.36,86.36,988200
2019-06-21,86.11,88.09,85.0,87.91,87.91,1362900
2019-06-24,87.71,87.76,85.29,85.9,85.9,1061900
2019-06-25,85.68,86.31,83.65,83.82,83.82,1202300
2019-06-26,83.74,84.01,82.43,82.95,82.95,1128800
2019-06-27,83.05,84.16,81.67,84.03,84.03,1103600
2019-06-28,84.37,85.92,83.19,85.65,85.65,1609900
2019-07-01,86.99,86.99,84.04,84.15,84.15,1235900
2019-07-02,84.15,84.49,83.66,84.05,84.05,973800
2019-07-03,84.06,84.8,83.9,84.15,84.15,487900
2019-07-05,83.66,83.85,81.66,82.0,82.0,990200
2019-07-08,81.63,82.04,79.41,80.39,80.39,2032700
2019-07-09,80.34,83.26,80.07,83.13,83.13,1959800
2019-07-10,83.51,85.79,83.51,85.11,85.11,1370100
2019-07-11,84.92,85.24,81.17,82.72,82.72,1167000
2019-07-12,82.94,84.04,82.2,82.95,82.95,796200
2019-07-15,83.23,84.02,82.66,83.99,83.99,684000
2019-07-16,84.14,84.14,82.14,82.37,82.37,580600
2019-07-17,82.26,83.39,81.37,82.47,82.47,703500
2019-07-18,82.16,83.55,82.16,83.19,83.19,917600
2019-07-19,83.71,83.71,81.39,81.57,81.57,893900
2019-07-22,81.93,82.49,80.99,81.6,81.6,704100
2019-07-23,81.66,81.95,80.5,80.6,80.6,654800
2019-07-24,80.61,81.64,80.29,81.1,81.1,699000
2019-07-25,81.1,81.14,80.34,80.67,80.67,755600
2019-07-26,81.05,81.43,80.25,81.11,81.11,837200
2019-07-29,81.13,81.67,79.53,79.82,79.82,1193100
2019-07-30,79.55,81.66,78.81,81.0,81.0,839800
2019-07-31,80.82,81.38,78.77,79.32,79.32,1453800
2019-08-01,79.43,81.73,79.32,81.0,81.0,1471000
2019-08-02,78.0,80.92,76.01,77.84,77.84,2150900
2019-08-05,76.2,77.06,75.11,76.02,76.02,1825000
2019-08-06,76.69,77.68,74.83,76.01,76.01,869000
2019-08-07,75.31,77.12,75.01,76.69,76.69,806400
2019-08-08,77.03,77.77,76.08,76.89,76.89,792100
2019-08-09,76.41,77.16,75.24,76.99,76.99,962900
2019-08-12,76.44,77.07,73.15,73.59,73.59,2057200
2019-08-13,72.72,74.97,72.72,73.46,73.46,1499500
2019-08-14,72.69,73.07,71.67,71.71,71.71,1310500
2019-08-15,71.78,73.05,71.53,71.73,71.73,2288500
2019-08-16,72.51,76.68,72.13,76.5,76.5,1825500
2019-08-19,77.41,77.83,75.94,77.41,77.41,1035800
2019-08-20,77.11,77.32,75.75,76.51,76.51,1144600
2019-08-21,77.07,78.74,76.26,78.22,78.22,1280400
2019-08-22,78.47,78.47,76.84,77.4,77.4,949800
2019-08-23,77.28,77.47,75.49,75.76,75.76,1218200
2019-08-26,76.52,77.0,75.15,75.57,75.57,866200
2019-08-27,76.06,76.52,74.03,74.68,74.68,1039900
2019-08-28,74.29,74.99,73.46,73.69,73.69,688300
