Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,43.6,43.79,43.15,43.48,43.48,1202200
2019-01-02,42.65,43.48,42.5,43.23,43.23,1463600
2019-01-03,42.69,42.93,41.43,41.53,41.53,1823400
2019-01-04,42.13,43.49,41.78,43.26,43.26,1775500
2019-01-07,42.93,43.73,42.8,43.42,43.42,1720200
2019-01-08,44.16,44.24,43.28,43.67,43.67,1468800
2019-01-09,43.67,44.17,43.42,43.85,43.85,1177800
2019-01-10,43.64,44.36,43.29,44.32,44.32,928800
2019-01-11,44.03,44.58,43.8,44.45,44.45,1221900
2019-01-14,44.15,44.55,43.92,44.38,44.38,1053000
2019-01-15,44.67,45.33,44.44,45.27,45.27,1533000
2019-01-16,45.12,45.46,44.97,45.37,45.37,1022200
2019-01-17,45.14,45.77,44.99,45.74,45.74,1263100
2019-01-18,46.05,46.63,45.63,46.62,46.62,1924700
2019-01-22,46.22,46.6,45.41,45.78,45.78,1685000
2019-01-23,45.57,46.23,45.17,45.48,45.48,1088500
2019-01-24,45.48,46.13,45.24,45.94,45.94,1194900
2019-01-25,46.48,46.74,46.22,46.59,46.59,1536200
2019-01-28,45.96,46.46,45.76,46.46,46.46,1086200
2019-01-29,46.45,46.58,45.97,46.3,46.3,1020000
2019-01-30,46.53,47.59,46.28,47.48,47.48,1633100
2019-01-31,47.5,48.17,47.48,48.03,48.03,2044600
2019-02-01,48.05,48.81,48.0,48.68,48.68,1532900
2019-02-04,49.03,51.01,48.75,49.69,49.69,2103600
2019-02-05,49.9,50.21,49.69,50.08,50.08,1369500
2019-02-06,50.09,50.58,49.76,50.48,50.48,1402400
2019-02-07,50.12,50.62,49.96,50.58,50.58,1393700
2019-02-08,50.2,50.91,49.97,50.91,50.91,1295600
2019-02-11,51.0,51.44,50.7,50.84,50.84,1497700
2019-02-12,51.31,52.18,50.98,52.13,52.13,1878500
2019-02-13,52.25,52.37,51.2,51.36,51.36,1872200
2019-02-14,51.32,51.9,51.01,51.66,51.66,2029100
2019-02-15,52.09,52.6,51.7,52.58,52.58,2098200
2019-02-19,52.34,52.77,52.14,52.64,52.64,3014800
2019-02-20,57.0,57.25,54.91,55.07,55.07,4325400
2019-02-21,55.0,55.61,54.22,55.4,55.4,2478100
2019-02-22,55.56,56.72,55.46,56.57,56.57,3291100
2019-02-25,56.92,57.92,56.65,57.27,57.27,2281900
2019-02-26,57.29,57.46,56.88,57.36,57.36,2224000
2019-02-27,57.1,57.47,56.7,57.45,57.45,2088200
2019-02-28,57.49,58.08,57.15,57.25,57.25,2166000
2019-03-01,58.06,58.35,57.42,58.14,58.14,1717600
2019-03-04,58.88,58.88,57.55,58.54,58.54,2447500
2019-03-05,58.59,58.95,58.28,58.87,58.87,2237400
2019-03-06,58.95,59.17,58.43,58.51,58.51,1917900
2019-03-07,58.46,58.88,58.21,58.77,58.77,2166800
2019-03-08,58.13,59.17,57.76,59.16,59.16,1835900
2019-03-11,59.32,60.0,59.2,59.96,59.96,1988000
2019-03-12,60.0,60.7,59.86,60.62,60.62,2021500
