Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,80.5,81.18,79.81,81.05,79.13,788500
2019-01-02,79.68,80.23,78.76,79.17,77.29,854200
2019-01-03,77.7,78.87,76.59,77.13,75.3,1096800
2019-01-04,78.15,78.73,76.07,77.88,76.03,1401400
2019-01-07,78.21,78.95,77.26,77.57,75.73,1360600
2019-01-08,78.2,80.5,78.13,80.27,78.37,1322000
2019-01-09,92.57,92.57,80.77,81.33,79.4,960300
2019-01-10,80.65,82.36,79.75,81.94,80.0,629200
2019-01-11,81.8,82.85,80.43,80.59,78.68,1192900
2019-01-14,80.32,80.58,79.22,79.24,77.36,1051600
2019-01-15,79.69,80.53,79.08,80.49,78.58,1418500
2019-01-16,80.93,81.66,80.44,80.53,78.62,753900
2019-01-17,79.98,81.09,79.98,80.76,78.84,809200
2019-01-18,81.23,82.14,80.77,81.69,79.75,913200
2019-01-22,81.47,81.83,79.77,80.33,78.43,813000
2019-01-23,80.82,82.27,80.01,81.39,79.46,955800
2019-01-24,81.48,82.32,81.11,81.16,79.24,719800
2019-01-25,81.96,82.59,81.13,81.96,80.02,832800
2019-01-28,80.87,82.37,80.85,82.07,80.12,1094100
2019-01-29,82.09,82.72,81.73,81.92,79.98,536600
2019-01-30,82.53,83.1,81.57,82.98,81.01,477400
2019-01-31,82.96,83.59,82.44,83.27,81.3,1083000
2019-02-01,83.55,84.01,82.76,83.55,81.57,667600
2019-02-04,83.98,84.48,83.31,84.19,82.19,625400
2019-02-05,84.45,85.72,84.28,85.53,83.5,1220800
2019-02-06,85.65,85.84,84.76,85.39,83.37,1004800
2019-02-07,87.02,91.21,87.0,91.08,88.92,1854700
2019-02-08,90.9,90.9,88.02,90.31,88.17,1148800
2019-02-11,90.2,91.5,90.02,90.51,88.36,897000
2019-02-12,90.69,92.86,90.69,92.72,90.52,1166600
2019-02-13,93.0,93.16,92.0,92.71,90.51,829500
2019-02-14,92.66,94.32,92.39,93.85,91.62,829200
2019-02-15,93.89,94.85,93.5,94.84,92.59,903800
2019-02-19,94.41,94.98,93.85,94.68,92.43,711600
2019-02-20,94.56,95.33,94.15,94.79,92.54,969600
2019-02-21,94.83,95.24,94.38,95.0,92.75,560300
2019-02-22,95.28,96.11,94.89,95.75,93.77,497200
2019-02-25,96.2,97.06,95.47,95.57,93.59,626600
2019-02-26,95.11,95.79,94.85,95.27,93.3,1291900
2019-02-27,94.71,95.17,94.06,94.94,92.98,428200
2019-02-28,94.87,94.87,93.85,93.89,91.95,555200
2019-03-01,94.25,94.9,93.56,94.83,92.87,589900
2019-03-04,95.0,95.5,93.35,94.26,92.31,527400
2019-03-05,94.43,94.93,93.7,93.84,91.9,628200
2019-03-06,93.98,94.33,93.21,93.21,91.28,609000
2019-03-07,92.83,92.83,91.16,91.73,89.83,678100
2019-03-08,90.8,92.36,90.53,92.3,90.39,478600
2019-03-11,92.56,94.76,92.37,94.71,92.75,893200
2019-03-12,95.07,96.12,94.63,95.99,94.01,697900
2019-03-13,96.35,97.4,96.16,96.97,94.97,823700
2019-03-14,96.78,97.0,96.1,96.62,94.62,580600
2019-03-15,96.88,97.82,96.45,97.82,95.8,1238400
2019-03-18,97.62,98.02,96.31,97.03,95.02,647800
2019-03-19,97.46,98.22,97.03,97.55,95.53,627500
2019-03-20,97.36,97.8,96.51,97.17,95.16,823100
2019-03-21,97.33,99.29,97.25,98.58,96.54,733900
2019-03-22,98.42,98.62,95.84,95.87,93.89,693500
2019-03-25,95.98,96.0,94.8,95.66,93.68,499800
2019-03-26,96.47,96.76,95.23,95.7,93.72,1037700
2019-03-27,96.02,96.02,93.77,94.2,92.25,569500
2019-03-28,94.72,95.52,93.74,95.11,93.14,624900
2019-03-29,95.83,96.67,95.49,96.37,94.38,1080100
2019-04-01,97.27,98.89,97.05,98.62,96.58,675300
2019-04-02,98.6,99.8,98.17,99.27,97.22,579000
2019-04-03,99.98,101.06,99.45,100.5,98.42,740300
2019-04-04,100.71,100.94,100.05,100.56,98.48,585800
2019-04-05,100.95,101.18,100.37,100.79,98.71,555900
2019-04-08,100.54,102.07,99.18,101.99,99.88,945100
2019-04-09,101.67,102.12,101.32,101.97,99.86,609300
2019-04-10,102.04,104.52,101.97,104.05,101.9,1007800
2019-04-11,104.96,107.09,104.49,106.7,104.49,904400
2019-04-12,107.04,107.26,105.94,107.0,104.79,1201300
2019-04-15,107.41,108.28,106.71,108.14,105.9,1116200
2019-04-16,108.17,108.57,107.45,107.68,105.45,753700
2019-04-17,107.61,107.67,104.66,105.19,103.02,698900
2019-04-18,105.61,105.68,104.69,105.39,103.21,504700
2019-04-22,105.24,105.39,104.61,104.92,102.75,533900
2019-04-23,105.04,106.4,104.85,106.1,103.91,738900
2019-04-24,106.25,106.98,106.25,106.38,104.18,503600
2019-04-25,106.53,106.53,104.65,105.25,103.07,523400
2019-04-26,104.46,105.35,104.04,105.29,103.11,542200
2019-04-29,105.12,105.5,104.38,104.87,102.7,512400
2019-04-30,104.88,105.72,104.02,105.6,103.42,836600
2019-05-01,110.46,111.59,107.34,107.36,105.14,721500
2019-05-02,107.31,108.81,106.42,107.72,105.49,594600
2019-05-03,108.46,109.42,107.76,109.09,106.83,523000
2019-05-06,106.96,109.21,106.7,109.05,106.8,375000
2019-05-07,108.0,108.33,105.82,106.77,104.56,593500
2019-05-08,106.28,107.0,105.53,105.64,103.46,625800
2019-05-09,104.8,105.55,103.37,105.39,103.21,809600
2019-05-10,105.02,106.86,104.0,106.55,104.35,836500
2019-05-13,104.29,105.14,101.87,102.04,99.93,747700
2019-05-14,102.54,103.98,102.28,103.26,101.13,856000
2019-05-15,102.86,104.71,102.84,104.11,101.96,593000
2019-05-16,104.58,106.18,104.58,105.83,103.64,755500
2019-05-17,105.04,106.72,104.21,104.34,102.18,708000
2019-05-20,103.41,104.88,102.93,104.33,102.17,545200
2019-05-21,105.32,106.63,105.32,106.32,104.12,749700
2019-05-22,106.11,106.56,105.25,106.09,103.9,558300
2019-05-23,104.62,105.36,102.12,102.3,100.46,768400
2019-05-24,103.07,103.6,101.91,103.19,101.34,397200
2019-05-28,103.64,104.55,102.75,102.98,101.13,992100
2019-05-29,102.62,103.52,101.78,102.97,101.12,665600
2019-05-30,103.25,104.3,102.08,102.51,100.67,536400
2019-05-31,101.52,101.72,97.93,98.44,96.67,1066300
2019-06-03,98.44,99.7,98.34,99.36,97.58,1135900
2019-06-04,100.14,102.56,100.0,102.48,100.64,818200
2019-06-05,103.46,103.75,101.51,103.18,101.33,350500
2019-06-06,104.06,104.7,103.16,104.22,102.35,528600
2019-06-07,104.88,106.1,104.56,104.86,102.98,448300
2019-06-10,105.9,107.56,105.69,106.38,104.47,565100
2019-06-11,107.41,107.97,105.69,105.85,103.95,506600
2019-06-12,105.45,106.33,104.83,105.37,103.48,417700
2019-06-13,106.02,106.31,105.42,106.11,104.21,646500
2019-06-14,105.94,106.4,104.18,104.24,102.37,426400
2019-06-17,104.22,104.95,103.4,104.21,102.34,649600
2019-06-18,105.52,106.19,104.0,104.13,102.26,630200
2019-06-19,104.27,105.36,104.01,105.02,103.14,817700
2019-06-20,106.48,109.32,106.1,108.11,106.17,1037800
2019-06-21,107.79,109.87,106.76,108.59,106.64,1799900
2019-06-24,108.69,109.04,107.31,107.54,105.61,894000
2019-06-25,107.64,108.97,107.25,107.47,105.54,743000
2019-06-26,108.04,108.95,107.98,108.61,106.66,579400
2019-06-27,108.71,110.54,108.35,110.4,108.42,631300
2019-06-28,110.91,111.42,110.04,111.0,109.01,2185700
2019-07-01,112.95,113.59,111.41,112.53,110.51,786100
2019-07-02,112.57,113.24,112.16,112.73,110.71,728800
2019-07-03,112.96,114.34,112.78,113.54,111.5,612500
2019-07-05,113.22,113.93,112.53,113.79,111.75,645600
2019-07-08,113.09,113.09,110.12,110.4,108.42,719800
2019-07-09,109.63,113.11,109.29,112.76,110.74,1241000
2019-07-10,113.14,113.77,111.72,112.46,110.44,827800
2019-07-11,112.69,113.84,111.14,113.57,111.53,660800
2019-07-12,113.75,116.34,113.65,116.22,114.13,655200
2019-07-15,116.22,116.47,115.0,115.92,113.84,985900
2019-07-16,115.57,115.92,114.05,114.36,112.31,867600
2019-07-17,114.14,114.6,113.38,113.48,111.44,650600
2019-07-18,113.19,113.42,111.35,112.41,110.39,1109600
