Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,52.28,52.66,51.88,52.44,51.48,1318700
2019-01-02,51.46,52.14,51.41,51.87,50.92,2134300
2019-01-03,51.61,51.98,50.51,50.7,49.77,2092500
2019-01-04,51.25,52.32,51.02,52.23,51.27,2143300
2019-01-07,52.05,52.74,51.87,51.93,50.98,1937000
2019-01-08,52.35,53.19,52.09,53.13,52.16,2033400
2019-01-09,53.35,53.84,53.07,53.43,52.45,1401200
2019-01-10,53.25,54.17,53.08,54.07,53.08,1412900
2019-01-11,53.8,53.98,53.41,53.88,52.89,1498900
2019-01-14,53.34,54.48,53.18,54.04,53.05,1515400
2019-01-15,54.19,54.58,53.77,54.45,53.45,1514200
2019-01-16,54.55,54.76,53.62,53.64,52.66,1887300
2019-01-17,53.61,53.84,52.97,53.4,52.42,2115800
2019-01-18,53.9,54.07,53.24,54.06,53.07,2643900
2019-01-22,53.78,53.9,52.66,52.98,52.01,4221900
2019-01-23,52.97,54.1,52.81,54.08,53.09,3487200
2019-01-24,54.27,54.63,53.86,54.46,53.46,2227500
2019-01-25,54.91,55.4,54.61,54.9,53.89,1636100
2019-01-28,54.52,55.1,54.42,54.95,53.94,1771700
2019-01-29,54.96,55.17,54.32,54.5,53.5,1573700
2019-01-30,54.59,54.79,54.21,54.49,53.49,4318500
2019-01-31,54.53,55.25,54.46,54.91,53.9,3654700
2019-02-01,54.86,55.25,54.61,54.86,53.85,2167800
2019-02-04,54.97,55.78,54.81,55.59,54.57,2935700
2019-02-05,55.75,56.43,55.39,55.41,54.39,2814200
2019-02-06,55.06,58.24,54.89,56.27,55.24,4434400
2019-02-07,55.87,56.13,54.97,55.6,54.58,2315800
2019-02-08,55.33,56.17,55.06,56.01,54.98,2017700
2019-02-11,56.16,57.58,56.04,57.5,56.45,3265300
2019-02-12,57.82,59.15,57.66,58.82,57.74,3232400
2019-02-13,59.19,59.19,55.94,56.93,55.89,4896300
2019-02-14,56.72,56.91,56.33,56.8,55.76,3288000
2019-02-15,57.33,58.0,56.92,57.91,56.85,2096800
2019-02-19,57.59,58.02,57.32,57.54,56.49,1445400
2019-02-20,57.51,57.93,57.08,57.77,56.71,1384000
2019-02-21,57.7,57.7,57.01,57.23,56.18,1572600
2019-02-22,57.31,57.76,57.01,57.73,56.67,1622900
2019-02-25,58.0,58.07,56.96,56.99,55.95,1658900
2019-02-26,56.75,57.17,56.49,57.0,55.96,1822500
2019-02-27,56.75,57.39,56.6,56.99,55.95,1800100
2019-02-28,54.72,56.29,54.22,55.95,54.92,3220300
2019-03-01,56.42,56.47,55.53,55.95,54.92,3031100
2019-03-04,56.25,56.33,55.09,55.37,54.36,2701000
2019-03-05,55.33,55.85,54.88,55.73,54.71,1664000
2019-03-06,55.87,56.21,55.28,55.44,54.42,3000800
2019-03-07,55.36,55.62,54.61,55.4,54.38,2878800
2019-03-08,55.01,55.68,54.6,55.45,54.43,2572800
2019-03-11,55.51,56.47,55.49,56.26,55.23,3701500
2019-03-12,56.31,57.05,55.95,56.89,55.85,2687700
2019-03-13,56.95,57.81,56.82,57.56,56.5,2629500
2019-03-14,57.63,57.63,57.06,57.14,56.09,2622600
2019-03-15,57.2,57.93,57.02,57.91,56.85,3002100
2019-03-18,57.78,58.0,57.29,57.67,56.61,1207400
2019-03-19,57.95,58.12,57.2,57.58,56.52,1759900
2019-03-20,57.6,58.18,57.05,57.6,56.54,1778300
2019-03-21,57.05,58.5,57.05,58.28,57.21,1366300
2019-03-22,58.08,58.34,56.91,56.96,55.92,1318500
2019-03-25,57.04,57.17,56.22,56.69,55.65,1212500
2019-03-26,56.92,57.39,56.53,56.71,55.67,1361700
2019-03-27,56.65,56.96,56.11,56.62,55.58,999600
2019-03-28,56.7,57.0,56.15,56.54,55.5,1378400
2019-03-29,56.87,57.35,56.67,57.21,56.16,1440200
2019-04-01,57.67,57.75,56.66,57.52,56.47,1771100
2019-04-02,57.48,57.62,56.68,56.93,55.89,1158100
2019-04-03,57.26,57.49,56.79,57.12,56.07,1678300
2019-04-04,57.21,57.54,56.71,57.05,56.0,858400
2019-04-05,57.03,57.51,57.0,57.32,56.27,993100
2019-04-08,57.41,57.58,56.52,57.09,56.04,1398000
2019-04-09,63.38,66.03,61.89,62.97,61.82,15884200
2019-04-10,63.6,63.77,61.67,63.71,62.54,5189700
2019-04-11,63.57,63.76,61.98,62.2,61.06,3311000
2019-04-12,62.39,62.84,62.2,62.8,61.65,2586000
2019-04-15,62.72,63.6,62.48,63.46,62.3,3062300
2019-04-16,63.78,63.97,62.64,63.05,61.89,2196800
2019-04-17,63.12,63.43,62.23,62.4,61.26,3012500
2019-04-18,62.8,63.01,61.86,62.71,61.56,2577500
2019-04-22,62.44,63.0,62.24,62.67,61.52,2046300
2019-04-23,62.93,64.11,62.86,63.83,62.66,3850100
2019-04-24,63.82,64.4,63.78,64.15,62.97,2746900
2019-04-25,63.68,64.96,63.16,64.6,63.42,2906700
2019-04-26,64.5,65.47,62.78,65.08,63.89,4821000
2019-04-29,65.0,66.27,64.84,65.88,64.67,2780800
2019-04-30,65.54,66.56,65.31,66.45,65.23,2563800
2019-05-01,66.65,67.11,66.13,66.7,65.48,2553700
2019-05-02,66.77,68.17,66.43,68.01,66.76,3010200
2019-05-03,68.45,69.34,68.13,68.47,67.21,2167900
2019-05-06,67.34,68.75,67.12,68.65,67.39,2242300
2019-05-07,67.92,68.36,67.41,67.75,66.51,2382500
2019-05-08,67.76,68.37,67.43,68.02,66.77,1641800
2019-05-09,67.59,68.69,67.24,68.59,67.33,2070700
2019-05-10,68.23,69.28,67.61,68.94,67.68,2279100
2019-05-13,67.88,68.34,67.06,67.16,65.93,2704300
2019-05-14,67.44,68.32,67.28,67.83,66.59,2363200
2019-05-15,67.34,69.07,67.09,68.63,67.37,2832400
2019-05-16,68.7,69.65,68.63,68.91,67.65,2155100
2019-05-17,68.39,69.62,68.33,68.48,67.22,2257200
2019-05-20,67.91,69.74,67.87,69.55,68.28,3262000
2019-05-21,69.85,70.76,69.72,70.15,68.86,3619000
2019-05-22,69.9,70.45,69.56,70.13,68.84,2324700
2019-05-23,69.74,70.45,69.41,69.94,68.66,3222800
2019-05-24,70.13,70.9,70.0,70.59,69.3,3105200
2019-05-28,70.63,71.0,70.04,70.21,68.92,4102200
2019-05-29,70.03,70.25,69.05,69.43,68.16,2721500
2019-05-30,69.62,70.7,69.5,70.32,69.03,2032800
2019-05-31,69.94,70.36,69.35,69.97,68.69,1987700
2019-06-03,70.0,70.41,68.75,69.08,67.81,3552700
2019-06-04,69.8,70.91,69.64,70.88,69.58,3444200
2019-06-05,71.0,71.79,70.52,71.51,70.2,3005700
2019-06-06,71.54,72.5,71.48,72.25,70.93,2546700
2019-06-07,72.75,73.24,72.45,72.74,71.41,1848300
2019-06-10,72.85,73.14,72.23,72.7,71.37,1677500
2019-06-11,72.85,73.23,71.24,71.67,70.36,3120800
2019-06-12,71.73,72.42,71.69,72.26,70.94,2026200
2019-06-13,72.46,72.69,72.15,72.48,71.15,1912700
2019-06-14,72.54,72.95,72.2,72.23,70.91,1682600
2019-06-17,72.15,72.33,71.42,71.48,70.35,1806100
2019-06-18,72.0,72.14,70.52,70.67,69.55,2810300
2019-06-19,70.78,71.31,70.56,71.0,69.87,3217700
2019-06-20,71.69,72.0,71.0,71.75,70.61,3061300
2019-06-21,71.9,72.4,71.44,72.09,70.95,3295700
2019-06-24,72.11,72.7,71.57,72.65,71.5,1345000
2019-06-25,72.84,72.95,71.0,71.25,70.12,2268400
2019-06-26,71.35,71.78,70.67,71.04,69.91,1604500
2019-06-27,71.08,72.01,70.81,71.79,70.65,1805600
2019-06-28,71.85,73.36,71.84,73.3,72.14,6527400
2019-07-01,73.61,74.42,73.5,74.27,73.09,2453400
