Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,103.52,104.0,102.09,102.65,102.65,438200
2019-01-02,101.04,103.73,100.63,103.5,103.5,940500
2019-01-03,101.84,104.26,101.79,102.35,102.35,959900
2019-01-04,103.83,105.52,103.62,105.35,105.35,1136100
2019-01-07,104.88,105.44,103.54,104.87,104.87,1216300
2019-01-08,105.25,107.62,105.08,107.57,107.57,859400
2019-01-09,107.97,109.83,107.15,107.5,107.5,1410900
2019-01-10,107.38,108.59,106.89,107.82,107.82,889200
2019-01-11,107.14,108.27,104.71,105.39,105.39,1329800
2019-01-14,104.83,105.21,103.46,104.3,104.3,1078300
2019-01-15,104.23,107.0,104.06,105.9,105.9,947300
2019-01-16,106.13,106.47,104.22,104.43,104.43,994000
2019-01-17,104.46,106.5,104.44,105.95,105.95,859900
2019-01-18,106.63,107.62,105.42,106.84,106.84,962800
2019-01-22,106.5,107.69,105.88,106.66,106.66,834700
2019-01-23,106.57,108.18,105.96,107.4,107.4,1107400
2019-01-24,107.57,107.9,106.43,107.35,107.35,521800
2019-01-25,108.05,108.69,107.47,107.99,107.99,694400
2019-01-28,107.34,110.35,107.34,109.64,109.64,1645300
2019-01-29,109.48,110.98,108.72,110.76,110.76,1652600
2019-01-30,111.0,112.74,108.52,110.93,110.93,1851600
2019-01-31,110.18,112.59,110.18,111.92,111.92,1373300
2019-02-01,111.72,113.0,111.57,112.57,112.57,654300
2019-02-04,112.66,115.14,112.26,114.28,114.28,1177600
2019-02-05,115.0,115.49,114.28,115.37,115.37,662600
2019-02-06,115.44,116.02,114.5,115.9,115.9,635200
2019-02-07,115.25,116.28,114.67,115.79,115.79,1055000
2019-02-08,114.76,116.29,114.31,116.26,116.26,578300
2019-02-11,117.06,118.0,116.26,116.65,116.65,505700
2019-02-12,116.8,119.26,116.66,119.09,119.09,1113000
2019-02-13,119.32,119.8,117.9,118.04,118.04,1078600
2019-02-14,117.82,119.63,116.27,119.32,119.32,862100
2019-02-15,119.9,120.21,118.81,120.1,120.1,753700
2019-02-19,120.04,121.57,119.74,120.34,120.34,1057000
2019-02-20,119.99,120.8,119.31,119.99,119.99,799200
2019-02-21,119.59,121.62,119.45,121.18,121.18,663600
2019-02-22,121.54,122.95,121.44,122.76,122.76,438900
2019-02-25,122.9,123.19,121.6,121.78,121.78,996900
2019-02-26,121.78,121.95,121.15,121.48,121.48,903700
2019-02-27,121.1,123.16,121.1,123.0,123.0,796700
2019-02-28,123.06,123.69,122.23,122.3,122.3,873800
2019-03-01,121.64,123.02,120.6,121.3,121.3,887900
2019-03-04,120.72,122.59,119.52,121.15,121.15,703300
2019-03-05,121.15,121.66,120.22,120.57,120.57,730200
2019-03-06,119.68,120.31,118.7,118.98,118.98,766900
2019-03-07,118.37,119.37,117.65,118.46,118.46,632100
2019-03-08,117.59,119.0,117.07,118.94,118.94,529900
2019-03-11,119.38,120.17,118.97,120.03,120.03,828700
2019-03-12,120.16,121.22,119.74,121.2,121.2,1160100
2019-03-13,121.8,123.16,121.55,122.04,122.04,677900
2019-03-14,122.27,123.87,122.09,123.8,123.8,1789400
2019-03-15,124.37,125.68,123.2,125.64,125.64,1582900
2019-03-18,125.46,127.53,125.23,126.75,126.75,1190900
2019-03-19,127.5,128.11,125.78,126.18,126.18,1094600
2019-03-20,125.94,126.57,125.33,125.81,125.81,889900
2019-03-21,125.2,126.63,124.08,126.16,126.16,1463900
2019-03-22,125.83,126.2,125.11,125.43,125.43,758500
2019-03-25,124.92,125.51,124.36,125.43,125.43,471500
2019-03-26,126.08,126.66,125.33,126.06,126.06,600800
2019-03-27,125.56,126.25,123.73,124.54,124.54,701800
2019-03-28,124.95,125.08,124.07,124.83,124.83,495800
2019-03-29,125.47,126.56,125.05,126.49,126.49,722900
2019-04-01,127.19,128.15,125.75,126.8,126.8,783100
2019-04-02,126.71,128.11,126.08,127.99,127.99,728900
2019-04-03,128.6,128.85,127.35,127.8,127.8,925700
2019-04-04,128.11,128.11,122.95,124.22,124.22,2127000
2019-04-05,124.68,125.16,123.65,123.97,123.97,900100
2019-04-08,123.98,125.18,123.17,124.56,124.56,877000
2019-04-09,123.95,124.85,123.23,124.36,124.36,647800
2019-04-10,124.31,125.78,124.18,125.55,125.55,624700
2019-04-11,125.68,126.79,125.46,125.81,125.81,743900
