Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,34.29,34.6,33.3,34.05,32.81,21613200
2019-01-02,33.49,34.45,33.42,34.37,33.12,16970400
2019-01-03,34.33,35.33,34.13,34.64,33.38,28750400
2019-01-04,35.03,35.84,34.86,35.81,34.51,22843800
2019-01-07,35.63,35.91,35.27,35.43,34.14,26180800
2019-01-08,35.66,35.89,35.36,35.72,34.42,20440700
2019-01-09,35.87,36.12,35.51,36.06,34.75,16045100
2019-01-10,35.91,36.0,35.5,35.82,34.52,16669600
2019-01-11,35.61,35.74,35.31,35.63,34.34,19161600
2019-01-14,35.41,35.99,35.35,35.77,34.47,16609400
2019-01-15,35.72,36.0,35.57,35.83,34.53,13450000
2019-01-16,36.01,36.32,35.88,35.9,34.6,20838500
2019-01-17,35.8,36.2,35.74,35.91,34.61,25457200
2019-01-18,36.13,36.28,35.53,36.21,34.89,22670000
2019-01-22,36.05,36.09,34.83,34.97,33.7,32850900
2019-01-23,36.09,37.42,35.96,36.89,35.55,36648300
2019-01-24,36.85,36.88,35.44,36.24,34.92,40436900
2019-01-25,36.63,36.83,35.56,35.78,34.48,25199500
2019-01-28,35.48,35.53,34.67,35.37,34.09,26457000
2019-01-29,35.38,36.33,35.38,36.08,34.77,19312300
2019-01-30,36.03,36.03,35.25,35.43,34.14,22674000
2019-01-31,35.88,36.81,35.77,36.57,35.24,31274500
2019-02-01,36.71,36.88,36.48,36.79,35.45,18712300
2019-02-04,36.74,36.87,36.27,36.77,35.43,22890300
2019-02-05,36.87,37.27,36.57,37.15,35.8,24378500
2019-02-06,37.14,37.29,36.79,37.17,35.82,20357300
2019-02-07,37.16,37.71,37.09,37.68,36.31,22902300
2019-02-08,37.5,37.76,36.99,37.6,36.23,18071000
2019-02-11,37.7,37.74,36.9,37.0,35.66,14761400
2019-02-12,37.31,37.45,37.04,37.24,35.89,14626400
2019-02-13,37.24,37.45,36.79,37.03,35.69,14326400
2019-02-14,36.96,37.46,36.75,37.26,35.91,16008400
2019-02-15,37.6,37.78,37.15,37.77,36.4,15877100
2019-02-19,37.75,37.94,37.48,37.55,36.19,12853500
2019-02-20,37.7,37.92,37.53,37.79,36.42,14970400
2019-02-21,37.61,38.47,37.44,38.47,37.07,22082200
2019-02-22,38.48,38.74,38.41,38.61,37.21,20376900
2019-02-25,38.66,38.8,38.31,38.57,37.17,16212000
2019-02-26,38.63,38.86,38.41,38.8,37.39,18127700
2019-02-27,38.64,38.72,38.39,38.53,37.13,17534900
2019-02-28,38.55,38.9,38.52,38.67,37.27,18315300
2019-03-01,38.85,39.51,38.82,39.1,37.68,24117200
2019-03-04,39.25,39.65,38.38,38.73,37.32,15970400
2019-03-05,38.79,38.99,38.55,38.72,37.31,14946000
2019-03-06,38.88,38.95,38.45,38.61,37.21,11051900
2019-03-07,38.57,38.66,38.14,38.38,36.99,14176700
2019-03-08,38.22,38.48,37.89,38.19,36.8,13652900
2019-03-11,38.25,39.24,38.1,39.17,37.75,25653900
2019-03-12,39.16,39.73,38.97,39.49,38.06,21376100
2019-03-13,39.69,39.86,39.37,39.56,38.12,21550400
2019-03-14,39.47,39.95,39.37,39.87,38.42,16567600
2019-03-15,39.91,40.52,39.54,40.47,39.0,66922700
2019-03-18,40.23,40.45,39.88,39.92,38.47,21799700
2019-03-19,39.98,40.35,39.7,39.78,38.34,16787000
2019-03-20,39.76,39.8,38.9,39.47,38.04,23337900
2019-03-21,39.45,40.17,39.25,40.05,38.6,17684000
2019-03-22,39.94,39.97,39.35,39.46,38.03,17030100
2019-03-25,39.48,39.52,38.94,39.18,37.76,15844100
2019-03-26,39.4,39.72,39.21,39.63,38.19,11188300
2019-03-27,39.68,40.39,39.68,40.21,38.75,18266600
2019-03-28,40.21,40.5,40.12,40.42,38.95,10454400
2019-03-29,40.2,40.34,39.59,39.98,38.53,21135700
2019-04-01,40.34,40.39,39.97,40.31,38.85,14326000
2019-04-02,40.17,40.39,39.81,40.02,38.77,14237200
2019-04-03,40.3,40.58,39.97,40.27,39.01,21040200
2019-04-04,40.32,40.62,40.12,40.41,39.15,12294800
2019-04-05,40.43,40.55,40.31,40.42,39.16,21141000
2019-04-08,40.35,40.75,40.17,40.71,39.44,12467200
2019-04-09,40.7,41.14,40.57,41.04,39.76,14949600
2019-04-10,41.18,41.29,40.78,41.08,39.8,13375200
2019-04-11,41.12,41.14,40.85,41.04,39.76,9249400
2019-04-12,41.07,41.33,40.95,41.3,40.01,11536400
2019-04-15,41.32,41.8,41.26,41.78,40.47,12729100
2019-04-16,41.84,42.18,41.51,41.97,40.66,10053600
2019-04-17,42.14,42.64,41.89,42.57,41.24,15338700
2019-04-18,42.74,42.83,42.04,42.43,41.1,13959300
2019-04-22,42.26,42.41,41.86,42.0,40.69,10179600
2019-04-23,41.97,42.19,41.71,41.99,40.68,16963600
2019-04-24,42.03,42.25,41.74,41.85,40.54,25514100
2019-04-25,42.45,43.81,42.11,42.93,41.59,27730500
2019-04-26,43.93,43.96,42.87,43.08,41.73,16530400
2019-04-29,43.17,43.5,42.91,43.45,42.09,11832500
2019-04-30,43.56,43.66,43.04,43.53,42.17,15703000
2019-05-01,43.48,43.8,43.3,43.42,42.06,14327500
2019-05-02,43.32,43.39,42.36,42.65,41.32,18051100
2019-05-03,42.97,43.51,42.74,43.29,41.94,12751000
2019-05-06,42.77,43.41,42.7,43.3,41.95,13307500
2019-05-07,43.0,43.11,42.37,42.76,41.42,15505200
2019-05-08,42.73,42.96,42.36,42.55,41.22,13076900
2019-05-09,42.29,42.98,42.16,42.92,41.58,13624400
2019-05-10,42.7,43.22,42.22,43.15,41.8,12931500
2019-05-13,42.57,43.06,42.14,42.28,40.96,17108700
2019-05-14,42.27,43.39,42.27,42.91,41.57,16592600
2019-05-15,42.75,42.92,42.15,42.49,41.16,37268400
2019-05-16,42.57,43.3,42.41,43.19,41.84,17593700
2019-05-17,43.06,43.81,43.02,43.54,42.18,13915900
2019-05-20,43.38,43.38,42.41,42.78,41.44,14094100
2019-05-21,43.06,43.31,42.68,43.29,41.94,16482100
2019-05-22,43.26,43.5,43.08,43.3,41.95,11964300
2019-05-23,43.0,43.15,42.5,42.73,41.39,14755000
2019-05-24,42.81,43.06,42.63,42.67,41.34,9361800
2019-05-28,42.85,43.03,42.43,42.47,41.14,15224600
2019-05-29,42.24,42.37,41.75,41.92,40.61,16520000
2019-05-30,42.23,42.24,41.42,41.74,40.43,22663900
2019-05-31,41.39,41.48,40.77,41.0,39.72,22114400
2019-06-03,41.03,41.26,40.68,40.96,39.68,22205800
