Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,47.82,48.0,47.23,47.78,47.78,1828400
2019-01-02,46.9,47.96,46.69,47.68,47.68,1369900
2019-01-03,47.21,47.76,46.65,46.89,46.89,2121000
2019-01-04,47.62,48.7,47.43,48.56,48.56,1819900
2019-01-07,48.79,49.31,48.11,48.83,48.83,1485200
2019-01-08,49.16,49.68,48.59,49.63,49.63,1117500
2019-01-09,49.73,50.71,49.7,50.3,50.3,1254200
2019-01-10,50.09,50.64,49.75,50.6,50.6,729100
2019-01-11,50.27,50.84,49.65,50.66,50.66,872000
2019-01-14,50.3,50.68,49.87,49.92,49.92,771900
2019-01-15,50.03,50.2,49.17,49.36,49.36,2173600
2019-01-16,49.21,49.55,49.08,49.32,49.32,1671300
2019-01-17,49.04,49.98,48.88,49.74,49.74,1920500
2019-01-18,50.25,50.45,49.88,50.06,50.06,865700
2019-01-22,49.84,50.37,49.33,49.64,49.64,878800
2019-01-23,49.85,49.91,48.88,49.27,49.27,881000
2019-01-24,49.25,49.74,49.18,49.51,49.51,816400
2019-01-25,49.91,50.37,49.57,50.08,50.08,677500
2019-01-28,49.67,50.01,49.38,49.84,49.84,1118100
2019-01-29,49.85,49.94,49.33,49.58,49.58,728900
2019-01-30,49.9,50.32,49.47,50.14,50.14,834400
2019-01-31,50.21,50.74,49.93,50.63,50.63,1732600
2019-02-01,50.52,50.99,50.12,50.92,50.92,872500
2019-02-04,50.98,51.65,50.81,51.53,51.53,755900
2019-02-05,51.49,51.93,51.43,51.84,51.84,731600
2019-02-06,51.75,51.99,51.2,51.93,51.93,809600
2019-02-07,51.5,51.85,51.03,51.29,51.29,598800
2019-02-08,51.1,51.74,51.02,51.73,51.73,595600
2019-02-11,51.94,52.27,51.33,52.19,52.19,878700
2019-02-12,52.53,53.32,52.49,53.26,53.26,924700
2019-02-13,53.38,53.7,53.08,53.41,53.41,927900
2019-02-14,53.08,54.12,53.08,53.93,53.93,1082200
2019-02-15,54.29,54.29,53.62,54.03,54.03,1301100
2019-02-19,54.0,54.07,53.1,53.32,53.32,1218600
2019-02-20,53.44,53.48,51.99,53.48,53.48,1996100
2019-02-21,53.89,57.07,53.75,56.53,56.53,4453000
2019-02-22,56.42,58.7,56.15,58.29,58.29,3662400
2019-02-25,58.44,59.32,58.29,59.21,59.21,2566500
2019-02-26,59.39,59.81,58.84,58.91,58.91,2044000
2019-02-27,58.8,58.94,58.09,58.48,58.48,872900
2019-02-28,58.52,59.49,58.13,58.67,58.67,1799100
2019-03-01,58.88,59.03,57.96,58.4,58.4,1403200
2019-03-04,59.27,59.27,57.5,58.08,58.08,1392200
2019-03-05,57.86,58.76,57.86,58.11,58.11,974700
2019-03-06,58.08,58.3,57.65,57.74,57.74,1151000
2019-03-07,57.92,58.32,57.54,58.27,58.27,2062100
2019-03-08,57.86,58.26,57.72,58.24,58.24,1312900
2019-03-11,58.27,59.08,58.27,58.92,58.92,1295700
2019-03-12,58.88,59.39,58.59,59.16,59.16,863100
