Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,62.5,62.77,61.53,62.13,60.49,3445000
2019-01-02,60.76,62.25,60.02,61.95,60.31,5012900
2019-01-03,61.36,61.81,60.36,60.98,59.37,7842400
2019-01-04,61.0,62.83,60.53,62.79,61.13,6181200
2019-01-07,62.43,63.07,61.35,62.45,60.8,6262300
2019-01-08,63.78,64.18,62.64,63.35,61.67,5079300
2019-01-09,63.73,64.28,63.13,63.98,62.29,4430700
2019-01-10,63.81,64.98,63.36,64.69,62.98,5404100
2019-01-11,64.46,65.57,64.32,65.22,63.49,3836200
2019-01-14,64.88,65.56,64.71,65.27,63.54,4477200
2019-01-15,65.27,65.43,64.32,65.11,63.39,4178100
2019-01-16,65.16,65.67,64.82,65.38,63.65,5792500
2019-01-17,63.96,65.26,63.14,65.09,63.37,11251100
2019-01-18,65.39,67.77,65.37,67.36,65.58,7687600
2019-01-22,67.11,67.25,65.42,65.83,64.09,6280300
2019-01-23,66.08,66.41,64.12,65.08,63.36,5275500
2019-01-24,65.55,65.7,64.62,65.05,63.33,7096700
2019-01-25,65.55,66.95,65.32,66.2,64.45,8043000
2019-01-28,65.38,65.9,65.02,65.61,63.87,4275600
2019-01-29,65.85,66.1,65.33,65.42,63.69,4408300
2019-01-30,65.65,66.67,65.32,66.3,64.55,6250300
2019-01-31,66.43,66.43,65.37,65.7,63.96,5938400
2019-02-01,65.62,66.5,65.41,66.2,64.45,4347300
2019-02-04,66.06,67.46,66.05,67.42,65.64,5189700
2019-02-05,67.37,68.28,66.55,68.27,66.46,6025900
2019-02-06,68.08,68.44,67.86,68.09,66.29,5384300
2019-02-07,67.67,68.44,67.41,68.21,66.41,4844400
2019-02-08,67.73,68.76,67.67,68.75,66.93,4336700
2019-02-11,68.99,70.49,68.95,69.21,67.38,6234700
2019-02-12,70.0,71.22,69.88,71.12,69.24,5484000
2019-02-13,71.34,71.53,70.77,71.13,69.25,4644300
2019-02-14,70.69,71.86,70.59,71.63,69.74,3246800
2019-02-15,72.2,72.63,71.51,72.54,70.62,5807200
2019-02-19,71.35,72.88,71.21,72.51,70.59,4707900
2019-02-20,72.59,73.32,72.59,73.25,71.31,3863600
2019-02-21,73.35,73.4,72.28,72.57,70.65,3255300
2019-02-22,72.67,73.34,72.62,73.31,71.37,2756400
2019-02-25,73.48,73.5,72.74,72.82,70.89,5131300
2019-02-26,72.77,73.24,72.63,72.76,70.84,6866800
2019-02-27,72.34,72.9,72.06,72.66,70.97,3600900
2019-02-28,72.48,72.88,72.31,72.67,70.98,5183100
2019-03-01,73.3,73.35,72.4,72.45,70.77,4905500
2019-03-04,72.81,73.53,72.19,72.83,71.14,4144500
2019-03-05,72.92,73.15,72.42,72.46,70.78,3800400
2019-03-06,71.94,72.41,71.5,72.05,70.38,5379100
2019-03-07,71.81,72.26,71.61,72.02,70.35,5960500
2019-03-08,71.47,71.83,70.57,71.77,70.1,5604600
2019-03-11,71.63,72.96,71.23,72.95,71.26,4423500
2019-03-12,73.12,73.36,72.26,72.66,70.97,5575800
2019-03-13,73.06,74.39,72.53,73.97,72.25,4749800
2019-03-14,74.09,74.15,72.79,73.0,71.3,4276200
2019-03-15,72.87,73.7,72.6,72.81,71.12,13639300
2019-03-18,73.39,74.13,72.83,73.87,72.15,3996400
2019-03-19,74.04,74.37,72.8,72.95,71.26,4504800
2019-03-20,72.82,73.65,72.36,72.82,71.13,4782600
2019-03-21,72.32,73.8,72.25,73.64,71.93,2180300
2019-03-22,73.43,73.51,72.42,72.51,70.83,3324000
2019-03-25,72.23,73.25,72.23,72.76,71.07,2867800
2019-03-26,73.19,73.59,72.47,73.04,71.34,2864900
2019-03-27,72.92,73.55,72.69,73.4,71.69,1988900
2019-03-28,73.55,74.49,73.4,74.43,72.7,3220500
2019-03-29,74.91,75.16,74.66,74.82,73.08,3910400
2019-04-01,75.35,76.78,75.13,76.7,74.92,4763600
2019-04-02,76.92,77.15,76.12,76.18,74.41,3603600
2019-04-03,76.32,76.59,75.09,75.22,73.47,7191900
2019-04-04,75.03,75.24,74.59,74.8,73.06,7786300
2019-04-05,74.76,75.25,74.18,74.42,72.69,4410500
2019-04-08,74.54,75.74,74.37,75.62,73.86,4186400
2019-04-09,75.09,75.32,74.11,74.69,72.95,4356400
2019-04-10,74.83,75.25,74.25,75.07,73.33,2555700
2019-04-11,75.22,75.51,74.88,75.4,73.65,2000700
2019-04-12,75.79,76.82,75.54,76.66,74.88,3720600
2019-04-15,76.4,76.65,75.54,75.87,74.11,3678600
2019-04-16,76.12,76.31,75.57,75.89,74.13,3439000
2019-04-17,79.4,80.51,78.7,78.94,77.11,8194600
2019-04-18,79.83,79.83,78.47,78.97,77.14,6296100
2019-04-22,78.69,79.26,78.2,78.82,76.99,3478100
2019-04-23,78.81,79.09,78.21,79.02,77.18,3437500
2019-04-24,79.09,80.37,79.09,79.32,77.48,3753600
2019-04-25,78.86,79.04,78.03,78.54,76.72,3041100
2019-04-26,78.65,79.33,78.63,79.17,77.33,2969800
2019-04-29,79.08,79.56,78.73,79.37,77.53,2681600
2019-04-30,79.34,79.83,78.52,79.63,77.78,3507600
2019-05-01,79.55,79.8,78.92,79.13,77.29,3613100
2019-05-02,78.99,79.18,78.05,78.91,77.08,2808000
2019-05-03,79.33,80.73,79.13,80.52,78.65,2464000
2019-05-06,79.12,80.32,79.06,80.07,78.21,2884000
2019-05-07,79.19,79.24,77.24,78.27,76.45,5421600
2019-05-08,78.26,79.11,78.0,78.2,76.38,3310600
2019-05-09,77.58,78.36,76.93,78.17,76.35,2841000
2019-05-10,77.92,78.94,76.77,78.69,76.86,2989900
2019-05-13,77.2,77.58,76.42,76.77,74.99,4918900
2019-05-14,76.94,78.79,76.9,78.24,76.42,3222100
2019-05-15,77.57,78.51,77.33,77.39,75.59,4185200
2019-05-16,77.58,78.58,77.34,78.22,76.4,3622600
2019-05-17,77.89,78.77,77.42,78.4,76.58,3522700
2019-05-20,77.99,78.55,77.51,78.06,76.25,2718800
2019-05-21,78.35,78.68,77.95,78.34,76.52,8234600
2019-05-22,78.14,78.14,77.3,77.44,75.64,3912800
2019-05-23,76.5,76.6,74.8,75.38,73.63,8166100
2019-05-24,75.77,75.9,74.53,74.9,73.16,4548400
2019-05-28,75.38,75.65,74.36,74.52,72.79,7510200
