Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,167.95,168.52,165.77,167.99,164.64,564300
2019-01-02,165.51,167.58,164.59,167.49,164.15,594600
2019-01-03,167.94,170.0,164.5,164.81,161.53,918500
2019-01-04,167.2,172.77,165.69,172.56,169.12,870500
2019-01-07,172.49,174.17,170.71,172.85,169.41,739100
2019-01-08,174.53,175.5,171.14,174.72,171.24,777500
2019-01-09,175.47,177.22,174.16,176.25,172.74,608300
2019-01-10,175.92,177.61,175.52,177.48,173.94,561100
2019-01-11,176.97,177.93,175.41,177.79,174.25,440800
2019-01-14,176.66,177.44,175.48,176.66,173.14,398300
2019-01-15,177.37,178.12,176.09,177.54,174.0,440000
2019-01-16,177.88,178.64,176.4,178.27,174.72,494600
2019-01-17,177.79,181.25,177.27,180.91,177.3,413100
2019-01-18,182.65,185.34,181.6,184.91,181.23,638100
2019-01-22,184.09,184.65,181.32,182.76,179.12,394700
2019-01-23,183.61,183.85,180.56,182.14,178.51,462400
2019-01-24,182.36,182.65,180.44,182.52,178.88,280300
2019-01-25,184.5,185.33,184.0,184.98,181.29,423800
2019-01-28,183.28,183.58,181.17,182.99,179.34,383600
2019-01-29,183.73,184.03,182.32,183.1,179.45,341400
2019-01-30,184.14,187.43,182.64,186.62,182.9,434400
2019-01-31,186.72,187.91,185.94,187.51,183.77,708900
2019-02-01,187.54,188.98,186.17,188.61,184.85,565400
2019-02-04,188.59,190.42,186.93,190.36,186.57,355500
2019-02-05,190.47,192.05,190.0,191.8,187.98,348600
2019-02-06,191.5,191.88,190.71,191.55,187.73,394700
2019-02-07,190.51,192.09,189.91,191.75,187.93,408900
2019-02-08,190.83,194.25,190.63,194.23,190.36,333900
2019-02-11,195.42,197.77,194.78,197.61,193.67,670900
2019-02-12,199.13,200.91,198.02,200.59,196.59,615000
2019-02-13,200.68,202.88,200.59,201.76,197.74,542000
2019-02-14,200.01,202.35,200.01,201.41,197.4,452200
2019-02-15,203.36,203.89,201.27,203.79,199.73,523700
2019-02-19,202.95,203.86,202.83,203.49,199.43,362200
2019-02-20,202.78,203.62,201.03,203.06,199.01,263900
2019-02-21,203.28,203.56,201.02,202.98,198.93,297800
2019-02-22,203.5,205.0,202.99,204.4,200.33,292600
2019-02-25,205.32,205.93,204.39,204.46,200.39,321400
2019-02-26,203.69,205.0,203.1,203.2,199.15,302300
2019-02-27,202.82,205.4,201.2,204.98,200.9,327900
2019-02-28,205.12,207.33,204.35,206.6,202.48,441100
2019-03-01,208.04,209.45,206.52,208.35,204.2,392200
2019-03-04,209.12,209.64,205.49,206.59,202.47,382900
2019-03-05,206.92,207.07,205.3,205.37,201.28,541100
2019-03-06,205.2,205.83,203.16,203.22,199.17,436100
2019-03-07,203.17,203.5,200.18,202.53,198.49,574800
2019-03-08,201.1,201.7,199.7,201.32,197.31,473900
2019-03-11,201.76,204.64,199.97,204.32,200.25,736200
2019-03-12,204.51,204.91,202.47,204.09,200.02,486000
2019-03-13,204.7,206.14,204.1,205.52,201.42,542700
2019-03-14,205.11,205.53,203.73,204.89,200.81,683800
2019-03-15,204.91,207.2,204.54,205.55,201.45,1122400
2019-03-18,205.99,207.89,205.64,207.54,203.4,459900
2019-03-19,207.88,208.32,206.0,206.52,202.4,420700
2019-03-20,207.21,207.89,204.63,205.19,201.1,466800
2019-03-21,204.0,208.45,204.0,208.12,203.97,838300
2019-03-22,202.91,204.01,193.75,194.55,190.67,1549600
2019-03-25,194.12,197.38,191.91,197.02,193.09,1171600
2019-03-26,198.5,199.61,197.76,199.38,195.41,452100
2019-03-27,199.57,201.27,198.1,199.07,195.1,388100
2019-03-28,199.51,200.9,198.55,200.63,196.63,300100
2019-03-29,202.05,202.52,200.04,202.11,198.08,389000
2019-04-01,204.21,205.36,203.34,204.98,200.9,515600
2019-04-02,205.19,206.35,204.68,206.09,201.98,397300
2019-04-03,206.81,208.1,206.3,207.39,203.26,407600
2019-04-04,208.15,208.15,204.74,205.34,201.25,280000
2019-04-05,206.14,207.57,205.44,206.37,202.26,219900
2019-04-08,205.41,206.54,203.76,206.31,202.2,340100
2019-04-09,205.21,206.58,204.26,204.73,200.65,300500
2019-04-10,204.97,205.76,203.46,204.97,200.89,274100
2019-04-11,205.04,205.72,203.48,205.47,201.38,320500
2019-04-12,206.38,207.5,203.96,207.4,203.27,409400
2019-04-15,207.5,208.62,206.51,208.23,204.08,423700
2019-04-16,208.42,209.76,208.33,209.33,205.16,277800
2019-04-17,210.03,210.78,208.46,209.94,205.76,413200
2019-04-18,210.97,213.75,209.94,213.68,209.42,587700
2019-04-22,211.86,212.97,210.38,210.77,206.57,293800
2019-04-23,211.53,213.69,210.37,213.4,209.15,333700
2019-04-24,213.67,216.0,213.08,215.8,211.5,496600
2019-04-25,214.29,215.39,213.33,214.8,210.52,548300
2019-04-26,216.19,217.46,214.5,216.78,212.46,269600
2019-04-29,216.6,217.84,216.05,216.87,212.55,491300
2019-04-30,216.48,217.25,215.72,217.14,212.81,571100
2019-05-01,217.61,219.02,216.05,216.06,211.75,383500
2019-05-02,215.39,219.95,215.39,219.78,215.4,485900
2019-05-03,219.38,223.14,218.42,222.93,218.49,456400
2019-05-06,218.36,223.99,218.36,222.9,218.46,416600
2019-05-07,220.28,222.25,217.65,218.85,214.49,542800
2019-05-08,219.59,222.21,218.59,219.92,215.54,537900
2019-05-09,218.18,221.92,216.39,221.51,217.1,351500
2019-05-10,219.8,223.6,217.75,222.83,218.39,401000
2019-05-13,217.96,220.17,215.88,216.5,212.19,581600
2019-05-14,217.21,221.54,216.38,220.07,215.68,365700
2019-05-15,218.44,222.45,217.99,221.55,217.13,423800
2019-05-16,221.93,224.87,221.63,223.72,219.26,354200
2019-05-17,222.47,225.33,221.82,223.42,218.97,350900
2019-05-20,221.46,224.02,221.29,223.38,218.93,271700
2019-05-21,225.05,227.64,224.55,227.01,222.49,570000
2019-05-22,226.61,227.35,225.88,226.29,221.78,337800
2019-05-23,224.61,225.05,223.2,224.2,219.73,362800
2019-05-24,224.87,225.72,222.38,222.5,218.07,434800
2019-05-28,222.9,223.91,220.61,220.69,216.29,686700
2019-05-29,220.97,222.44,219.71,221.94,217.52,392700
2019-05-30,222.09,224.75,221.95,223.6,219.14,345800
2019-05-31,221.45,222.96,221.0,221.83,217.41,341800
2019-06-03,222.16,224.63,221.88,223.39,218.94,431200
2019-06-04,225.0,226.87,223.93,226.5,221.99,521000
2019-06-05,227.5,231.05,227.13,230.51,225.92,545300
2019-06-06,230.16,231.9,229.64,231.54,226.93,373900
2019-06-07,233.16,233.47,231.88,232.62,227.98,684800
2019-06-10,233.54,235.3,233.01,234.54,229.87,616700
2019-06-11,235.24,236.39,231.25,232.28,227.65,443800
2019-06-12,232.42,235.23,232.42,234.7,230.02,361800
2019-06-13,234.49,236.63,233.64,235.96,231.26,486400
2019-06-14,236.14,237.45,235.15,236.37,231.66,336100
2019-06-17,235.95,236.58,232.08,232.27,227.64,677600
2019-06-18,233.83,235.0,230.51,231.44,226.83,803400
2019-06-19,231.15,236.5,230.67,235.1,230.41,814100
2019-06-20,236.88,237.55,230.03,232.63,227.99,813700
2019-06-21,232.68,234.13,230.87,232.38,227.75,924400
2019-06-24,232.48,233.73,231.27,233.11,228.46,441600
2019-06-25,233.85,233.88,230.69,231.45,226.84,536700
2019-06-26,233.07,234.39,232.22,232.77,228.13,544900
2019-06-27,233.03,235.94,232.5,235.68,230.98,379900
2019-06-28,236.1,237.5,235.16,237.29,232.56,655600
2019-07-01,240.0,240.0,235.9,238.87,234.11,555700
2019-07-02,238.87,239.18,237.76,238.0,233.26,444500
2019-07-03,238.42,240.17,238.3,239.53,234.76,283600
2019-07-05,238.32,239.8,236.4,239.53,234.76,580200
2019-07-08,238.61,239.53,237.31,238.26,233.51,299000
2019-07-09,237.15,238.58,236.92,238.42,233.67,362100
2019-07-10,239.34,240.15,238.43,238.69,233.93,310100
2019-07-11,239.24,240.6,237.46,239.99,235.21,450800
2019-07-12,240.66,242.71,240.03,242.44,237.61,405800
2019-07-15,242.0,243.77,240.01,243.26,238.41,366600
2019-07-16,244.22,244.59,239.13,239.44,234.67,885700
2019-07-17,253.92,262.0,251.5,260.37,255.18,2130300
2019-07-18,260.0,262.54,257.89,260.65,255.46,1030000
2019-07-19,262.5,263.82,257.68,257.85,252.71,648100
2019-07-22,258.41,261.49,258.15,259.03,253.87,687800
2019-07-23,260.07,261.0,256.41,260.79,255.59,539300
2019-07-24,258.92,261.96,258.25,261.91,256.69,565500
2019-07-25,259.96,262.62,259.6,260.76,255.56,423800
2019-07-26,260.57,262.61,258.51,261.69,256.47,777100
2019-07-29,261.06,262.55,257.66,260.69,255.49,382000
2019-07-30,260.17,263.05,258.64,262.85,257.61,407600
2019-07-31,262.78,264.29,256.51,260.44,255.25,878700
2019-08-01,261.07,264.0,258.15,259.03,253.87,559700
2019-08-02,258.58,260.65,256.13,258.41,253.26,479000
2019-08-05,253.61,257.01,248.75,251.12,246.12,617900
2019-08-06,252.0,257.8,252.0,257.19,252.06,485400
2019-08-07,253.39,259.51,251.97,258.45,253.3,718900
2019-08-08,259.43,264.47,258.64,264.29,259.02,492400
2019-08-09,266.56,266.56,260.75,263.42,258.17,391600
2019-08-12,263.3,264.02,260.79,261.4,256.19,395600
2019-08-13,260.54,266.73,260.37,266.17,260.87,479000
2019-08-14,262.46,265.67,256.61,256.72,251.6,445900
2019-08-15,257.2,261.15,256.17,260.02,254.84,458700
2019-08-16,262.7,265.24,261.41,264.4,259.13,460000
2019-08-19,267.79,268.96,265.0,267.82,262.48,467000
2019-08-20,269.25,270.36,266.58,267.84,262.5,355700
2019-08-21,267.9,269.03,266.39,267.65,262.32,659700
2019-08-22,268.68,268.68,263.47,264.46,259.19,323500
2019-08-23,263.53,264.15,254.67,256.04,250.94,537400
2019-08-26,259.73,260.45,257.52,260.34,255.15,567400
2019-08-27,263.24,263.46,260.85,261.15,255.95,530600
2019-08-28,259.81,262.56,258.25,262.18,256.96,387600
2019-08-29,264.0,266.0,263.74,264.6,259.33,365400
2019-08-30,263.42,266.67,262.79,263.8,258.54,391300
2019-09-03,262.6,264.0,258.53,259.93,254.75,390500
2019-09-04,262.15,265.33,260.0,264.01,258.75,647700
2019-09-05,266.92,270.24,266.37,267.24,261.91,380800
2019-09-06,267.19,269.27,265.95,266.19,260.89,288400
2019-09-09,267.56,267.56,255.23,255.66,250.57,930100
2019-09-10,253.55,254.17,246.96,248.97,244.01,1047900
2019-09-11,249.99,250.0,244.78,246.02,241.12,878700
2019-09-12,247.79,249.75,246.38,246.51,241.6,715400
2019-09-13,246.6,247.62,244.59,246.68,241.76,858700
2019-09-16,245.5,249.01,244.0,247.46,242.53,770600
2019-09-17,247.98,250.34,247.98,249.95,244.97,384400
2019-09-18,250.12,250.12,246.89,249.67,244.69,544500
2019-09-19,248.87,252.96,248.87,251.42,246.41,491700
2019-09-20,252.72,256.88,251.92,253.78,248.72,1090100
2019-09-23,254.44,255.36,252.37,254.65,249.58,569700
2019-09-24,256.26,257.9,251.24,252.14,247.12,612800
2019-09-25,262.0,267.89,260.17,266.62,261.31,1725600
2019-09-26,266.33,268.68,265.06,268.02,262.68,700900
2019-09-27,268.17,270.11,264.21,266.13,260.83,893400
2019-09-30,267.18,269.55,265.46,268.1,262.76,561200
2019-10-01,268.53,268.82,262.36,262.39,257.16,518700
2019-10-02,261.93,261.98,256.75,258.95,253.79,683500
2019-10-03,258.07,259.4,253.86,258.63,253.48,456100
2019-10-04,260.11,263.19,259.48,262.86,257.62,445300
2019-10-07,262.37,262.96,259.78,260.97,255.77,301200
2019-10-08,258.87,262.79,257.26,260.33,255.14,570800
2019-10-09,261.15,264.43,260.9,263.57,258.32,275300
2019-10-10,263.37,266.7,262.1,266.07,260.77,382500
2019-10-11,270.3,271.78,267.31,267.61,262.28,443400
2019-10-14,267.7,268.28,265.79,265.94,260.64,519000
2019-10-15,266.62,269.5,266.0,269.45,264.08,472900
2019-10-16,269.18,269.18,265.77,266.97,261.65,420500
2019-10-17,268.76,269.65,266.16,268.33,262.98,376200
2019-10-18,268.58,270.0,266.79,269.31,263.94,451900
2019-10-21,270.04,271.96,268.44,269.99,264.61,300500
2019-10-22,270.32,270.64,265.91,266.13,260.83,263300
2019-10-23,265.88,268.17,264.69,268.13,262.79,282200
2019-10-24,268.64,272.64,267.94,272.34,266.91,402600
2019-10-25,272.31,272.63,269.85,270.34,264.95,273300
2019-10-28,271.49,272.56,270.57,271.79,266.37,338600
2019-10-29,270.58,276.28,270.47,274.52,269.05,440800
2019-10-30,275.1,276.49,273.32,276.26,270.75,354100
2019-10-31,276.49,277.85,268.46,268.67,263.32,667400
2019-11-01,270.9,271.58,267.03,268.89,263.53,626200
2019-11-04,269.8,271.98,267.26,269.72,264.34,422400
2019-11-05,271.02,271.02,265.45,266.99,261.67,447600
2019-11-06,267.68,267.69,263.38,264.95,259.67,573100
2019-11-07,264.29,264.73,261.74,262.0,259.27,571000
2019-11-08,261.88,263.98,260.13,260.88,258.17,628000
2019-11-11,259.95,261.88,259.7,260.61,257.9,435600
2019-11-12,260.32,262.25,258.26,258.85,256.16,1191200
2019-11-13,252.36,255.65,247.67,255.24,252.58,1667300
2019-11-14,253.93,259.55,252.15,259.36,256.66,604900
2019-11-15,258.45,260.02,255.54,256.12,253.46,658800
2019-11-18,255.25,258.17,254.11,256.14,253.48,600000
2019-11-19,256.88,259.41,255.22,257.9,255.22,485600
2019-11-20,256.8,261.29,256.66,259.46,256.76,633300
2019-11-21,259.34,259.9,253.37,253.63,250.99,502800
2019-11-22,256.37,257.44,252.83,254.09,251.45,491900
2019-11-25,253.65,254.94,250.19,250.87,248.26,619500
2019-11-26,251.67,256.43,251.0,256.05,253.39,1063100
2019-11-27,255.78,260.57,254.21,260.32,257.61,857200
2019-11-29,259.05,259.41,255.88,257.06,254.39,290100
2019-12-02,256.34,258.0,254.38,255.89,253.23,583600
2019-12-03,253.99,256.44,253.45,255.38,252.72,522200
2019-12-04,256.53,258.81,254.73,254.95,252.3,402500
2019-12-05,255.14,255.75,253.58,254.7,252.05,407000
2019-12-06,257.59,259.75,255.89,256.22,253.55,434500
2019-12-09,256.42,256.42,253.65,253.81,251.17,438100
2019-12-10,254.25,256.73,253.97,255.9,253.24,430200
2019-12-11,256.55,258.26,254.27,258.05,255.37,437600
2019-12-12,257.8,260.1,256.64,259.25,256.55,432900
2019-12-13,259.27,262.58,258.48,261.81,259.09,716400
2019-12-16,266.1,266.98,258.12,260.73,258.02,728200
2019-12-17,261.8,262.43,259.19,260.76,258.05,896500
2019-12-18,263.16,274.75,263.01,265.88,263.11,1557500
2019-12-19,265.24,269.03,264.95,268.01,265.22,699400
2019-12-20,268.99,271.68,267.39,271.5,268.68,1305800
2019-12-23,270.76,272.1,270.13,270.86,268.04,624600
2019-12-24,271.18,271.7,267.32,268.81,266.01,141700
2019-12-26,269.09,269.81,266.42,268.13,265.34,269800
2019-12-27,268.53,269.6,267.44,269.01,266.21,289200
2019-12-30,269.05,269.38,266.25,268.36,265.57,302300
2019-12-31,268.31,269.59,266.75,269.08,266.28,369600
2020-01-02,269.86,270.83,266.58,270.79,267.97,544200
2020-01-03,268.07,271.98,267.07,269.57,266.77,493100
2020-01-06,268.13,270.35,266.78,270.27,267.46,409200
2020-01-07,268.12,271.25,267.34,270.07,267.26,388400
2020-01-08,270.77,275.82,268.9,275.28,272.42,702100
2020-01-09,273.06,282.89,273.06,279.35,276.44,810800
2020-01-10,280.11,281.12,277.5,278.84,275.94,320200
2020-01-13,279.85,283.3,279.48,282.85,279.91,409500
2020-01-14,282.02,283.88,281.2,281.52,278.59,446900
2020-01-15,281.96,285.87,281.96,284.64,281.68,425500
2020-01-16,284.57,287.45,284.38,286.51,283.53,354100
2020-01-17,287.69,287.74,282.44,284.23,281.27,488800
2020-01-21,284.18,285.22,281.77,282.04,279.11,469800
2020-01-22,283.54,284.5,282.17,282.34,279.4,325700
2020-01-23,282.29,286.17,281.2,286.02,283.04,322800
2020-01-24,287.22,287.68,281.25,283.44,280.49,244200
2020-01-27,278.03,281.05,276.03,278.62,275.72,516800
2020-01-28,278.22,280.66,277.83,277.96,275.07,335400
2020-01-29,278.85,282.25,274.8,280.25,277.33,480200
2020-01-30,275.48,283.5,275.2,283.2,280.25,334600
2020-01-31,282.14,284.62,278.38,278.97,276.07,696900
2020-02-03,280.41,284.8,279.31,282.01,279.08,480000
2020-02-04,285.35,286.89,283.04,285.96,282.98,529900
2020-02-05,289.82,291.88,288.42,291.34,288.31,576100
2020-02-06,292.47,294.74,291.34,293.65,290.59,438700
2020-02-07,291.63,294.25,290.68,291.58,288.55,366100
2020-02-10,291.6,292.84,289.21,292.62,289.58,385000
2020-02-11,294.04,294.75,292.27,293.49,290.44,263100
2020-02-12,294.52,297.9,293.25,297.12,294.03,417100
2020-02-13,295.41,300.12,295.41,298.1,295.0,442100
2020-02-14,298.71,301.24,297.37,300.88,297.75,263800
2020-02-18,300.93,302.67,298.83,302.51,299.36,386600
2020-02-19,303.8,304.81,302.73,304.26,301.09,296000
2020-02-20,302.51,304.57,296.71,297.7,294.6,585100
2020-02-21,294.89,296.73,292.24,293.36,290.31,500300
2020-02-24,285.62,290.32,284.46,288.16,285.16,592300
2020-02-25,288.11,289.69,279.3,279.88,276.97,875400
2020-02-26,281.85,287.07,281.6,283.91,280.96,707400
2020-02-27,277.8,280.45,269.31,269.55,266.75,932800
2020-02-28,255.52,267.52,255.0,266.74,263.96,1392300
2020-03-02,266.06,279.76,264.47,279.6,276.69,1058100
2020-03-03,277.39,286.63,270.86,272.37,269.54,895700
2020-03-04,280.54,286.14,275.5,286.11,283.13,681800
2020-03-05,278.22,283.25,272.12,275.04,272.18,651900
2020-03-06,264.87,273.76,263.6,272.32,269.49,835500
2020-03-09,258.97,259.76,248.62,250.84,248.23,1113400
2020-03-10,257.26,268.9,253.24,268.42,265.63,911600
2020-03-11,259.98,262.33,245.67,250.41,247.8,644500
2020-03-12,231.98,236.02,214.24,225.69,223.34,1942700
2020-03-13,233.25,244.07,223.61,243.58,241.05,1253500
2020-03-16,197.57,207.68,197.57,202.51,200.4,1741000
2020-03-17,206.56,210.65,195.85,209.12,206.94,1878200
2020-03-18,173.57,182.39,163.19,177.98,176.13,1914300
2020-03-19,176.23,185.37,160.39,183.0,181.1,1430900
2020-03-20,180.17,189.42,167.35,175.09,173.27,2573700
2020-03-23,177.22,177.22,154.33,157.06,155.43,1642900
2020-03-24,165.82,178.76,165.31,173.8,171.99,1375700
2020-03-25,174.22,200.56,168.86,192.33,190.33,1677200
2020-03-26,194.36,197.98,182.54,192.58,190.58,1731000
2020-03-27,187.44,187.75,180.0,181.57,179.68,1005600
2020-03-30,181.9,183.6,175.35,180.45,178.57,1073800
2020-03-31,178.49,179.58,171.92,173.22,171.42,1613600
2020-04-01,165.44,167.38,160.55,162.69,161.0,1114200
2020-04-02,160.25,167.29,158.89,165.19,163.47,1437300
2020-04-03,163.26,167.5,162.19,164.23,162.52,1007900
2020-04-06,169.0,180.6,168.28,179.49,177.62,1343000
2020-04-07,190.78,195.33,185.35,185.9,183.97,1611100
2020-04-08,188.48,193.97,185.51,192.41,190.41,942900
2020-04-09,197.94,207.15,197.51,198.74,196.67,934400
2020-04-13,198.75,198.85,191.46,195.08,193.05,761500
2020-04-14,200.66,203.95,198.64,201.7,199.6,845000
2020-04-15,196.76,197.01,186.11,187.07,185.12,915200
2020-04-16,189.32,191.13,186.49,190.64,188.66,763300
2020-04-17,198.99,204.75,196.61,204.16,202.04,812000
2020-04-20,200.02,202.55,193.21,193.91,191.89,775100
2020-04-21,189.85,191.89,187.98,190.5,188.52,698400
2020-04-22,193.6,198.8,192.8,197.44,195.39,669200
2020-04-23,198.16,203.56,198.16,199.42,197.35,955800
2020-04-24,201.28,202.67,198.27,200.18,198.1,760900
2020-04-27,201.68,213.06,200.0,212.47,210.26,649500
2020-04-28,219.28,223.2,214.41,218.17,215.9,1216400
2020-04-29,223.1,232.1,221.27,230.95,228.55,997000
2020-04-30,228.0,228.26,221.01,221.83,219.52,827000
2020-05-01,216.98,218.15,210.97,211.81,209.61,806700
2020-05-04,209.3,210.23,206.38,209.64,207.46,706800
2020-05-05,211.6,214.89,210.35,210.74,208.55,525300
2020-05-06,212.0,212.69,208.15,210.17,207.98,497000
2020-05-07,212.67,216.64,211.33,213.4,211.18,401500
2020-05-08,216.05,219.0,214.12,218.21,215.94,374900
2020-05-11,215.77,216.76,213.05,214.38,212.15,445700
2020-05-12,215.0,216.11,205.71,205.75,203.61,750200
2020-05-13,202.2,203.48,197.14,199.47,197.39,1359800
2020-05-14,204.91,229.24,204.24,228.71,226.33,2393100
