Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,63.24,63.66,63.02,63.48,61.85,2338200
2019-01-02,62.5,63.81,62.5,63.09,61.47,3045600
2019-01-03,62.36,62.97,61.01,61.1,59.53,3895700
2019-01-04,62.28,63.8,61.95,63.7,62.07,4885600
2019-01-07,63.35,63.97,62.8,63.6,61.97,3940400
2019-01-08,64.27,64.43,63.44,64.32,62.67,3427500
2019-01-09,64.62,64.8,63.98,64.26,62.61,2783000
2019-01-10,63.64,64.85,63.5,64.81,63.15,3314000
2019-01-11,64.78,65.19,64.58,64.92,63.26,3320600
2019-01-14,64.46,65.02,64.34,64.63,62.97,4407500
2019-01-15,64.84,66.25,64.65,65.99,64.3,3550900
2019-01-16,65.9,66.08,65.45,65.79,64.1,3496900
2019-01-17,65.49,66.74,65.2,66.55,64.84,2367800
2019-01-18,67.55,68.03,66.97,67.82,66.08,3904900
2019-01-22,67.3,67.69,66.27,66.8,65.09,3698000
2019-01-23,66.96,67.45,66.21,67.06,65.34,3350200
2019-01-24,67.12,68.15,66.92,68.12,66.37,3336000
2019-01-25,70.25,70.32,69.25,70.02,68.23,4073900
2019-01-28,69.27,69.38,68.34,68.95,67.18,2771000
2019-01-29,69.0,69.23,68.38,68.66,66.9,2902300
2019-01-30,68.73,70.1,68.54,69.8,68.01,3646100
2019-01-31,69.86,70.31,69.41,69.68,67.89,3504100
2019-02-01,69.95,70.94,69.78,70.14,68.34,3218600
2019-02-04,70.07,71.51,69.94,71.29,69.46,3382100
2019-02-05,71.35,71.87,71.11,71.21,69.39,3978100
2019-02-06,70.02,74.69,70.0,74.5,72.59,7242000
2019-02-07,74.18,74.45,71.42,72.99,71.12,5880600
2019-02-08,72.46,73.54,72.18,73.16,71.29,4613200
2019-02-11,73.35,73.87,72.88,72.97,71.1,3986100
2019-02-12,73.42,73.62,72.88,73.45,71.57,3404000
2019-02-13,74.16,74.35,73.18,73.58,71.69,2998300
2019-02-14,73.06,73.64,72.92,73.12,71.25,1496200
2019-02-15,73.71,74.05,73.08,73.56,71.67,2875200
2019-02-19,73.21,73.57,72.64,73.18,71.3,3955700
2019-02-20,73.27,73.41,71.86,72.25,70.59,3171400
2019-02-21,72.1,72.42,71.12,71.34,69.7,4739000
2019-02-22,71.69,72.42,71.49,72.38,70.72,5585400
2019-02-25,72.93,73.0,72.14,72.25,70.59,4105300
2019-02-26,72.43,72.54,71.76,72.04,70.39,3629200
2019-02-27,71.72,71.72,70.96,71.31,69.67,5050400
2019-02-28,71.25,71.76,70.88,70.98,69.35,3699300
2019-03-01,70.91,72.22,70.8,72.13,70.47,2947800
2019-03-04,72.56,72.88,71.01,71.76,70.11,3278400
2019-03-05,71.69,71.99,71.34,71.39,69.75,2112900
2019-03-06,71.42,72.03,71.19,71.46,69.82,2691000
2019-03-07,72.32,72.72,71.66,72.33,70.67,5296300
2019-03-08,71.61,72.0,70.57,71.15,69.52,3912500
2019-03-11,71.37,72.39,71.3,72.35,70.69,3159200
2019-03-12,72.3,72.61,71.68,71.78,70.13,3622700
2019-03-13,71.93,72.33,71.15,71.21,69.58,3926900
2019-03-14,71.22,71.47,70.85,70.93,69.3,2577500
2019-03-15,71.06,72.36,70.94,72.13,70.47,4808900
2019-03-18,72.1,72.32,71.22,71.88,70.23,2376900
2019-03-19,72.31,72.44,71.8,72.02,70.37,2537300
2019-03-20,72.17,72.43,71.32,71.71,70.06,2161300
2019-03-21,71.49,72.64,71.41,72.2,70.54,4141700
2019-03-22,71.96,72.06,70.64,70.89,69.26,2711800
2019-03-25,70.74,70.89,70.01,70.75,69.13,1983700
2019-03-26,71.23,71.73,70.67,71.09,69.46,2295500
2019-03-27,71.13,71.47,70.32,71.03,69.4,2040300
2019-03-28,71.89,71.89,71.04,71.58,69.94,2495800
2019-03-29,72.02,72.85,71.97,72.45,70.79,4475300
2019-04-01,73.0,73.98,72.65,73.85,72.15,3561900
2019-04-02,73.86,74.18,73.41,73.57,71.88,3069100
2019-04-03,73.9,74.85,73.82,74.18,72.48,3485100
2019-04-04,74.3,74.4,73.32,73.79,72.1,2221800
2019-04-05,73.85,74.42,73.13,74.2,72.5,2572800
