Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,102.5,103.0,101.86,102.46,99.94,1299400
2019-01-02,100.55,102.49,100.55,102.21,99.7,1333500
2019-01-03,101.26,101.84,100.41,100.74,98.27,1381500
2019-01-04,102.1,103.32,101.54,102.64,100.12,1881900
2019-01-07,103.0,103.67,102.49,103.05,100.52,1508600
2019-01-08,103.48,104.51,103.29,103.85,101.3,1643800
2019-01-09,104.05,105.58,103.56,104.82,102.25,2587100
2019-01-10,104.64,105.86,104.4,105.85,103.25,2374300
2019-01-11,105.24,106.41,105.17,106.14,103.53,1300600
2019-01-14,105.0,106.58,104.98,106.0,103.4,2091100
2019-01-15,106.08,107.92,105.77,107.42,104.78,2283800
2019-01-16,107.27,107.57,106.54,107.05,104.42,1110700
2019-01-17,107.01,107.94,106.48,107.07,104.44,1534200
2019-01-18,108.04,109.23,107.47,108.74,106.07,2157700
2019-01-22,108.23,108.93,107.19,108.25,105.59,3082400
2019-01-23,108.76,109.75,107.53,108.66,105.99,2778400
2019-01-24,100.04,103.9,100.04,101.86,99.36,5539300
2019-01-25,102.46,102.82,100.5,102.65,100.13,2526600
2019-01-28,101.95,102.07,100.95,101.98,99.48,1951800
2019-01-29,102.1,102.49,100.36,101.19,98.71,1797200
2019-01-30,101.21,101.67,100.71,101.56,99.07,2194200
2019-01-31,101.61,102.59,101.16,102.54,100.02,1935900
2019-02-01,102.58,104.07,102.4,103.79,101.24,2235100
2019-02-04,103.84,105.5,103.0,104.9,102.32,1415200
2019-02-05,105.33,106.13,105.1,106.08,103.48,1992100
2019-02-06,106.3,106.9,105.34,105.6,103.01,1469500
2019-02-07,104.9,105.57,104.26,105.12,102.54,2505200
2019-02-08,104.66,105.47,104.63,105.43,102.84,1259700
2019-02-11,105.86,106.4,104.64,105.04,102.46,1904300
2019-02-12,105.98,105.98,105.1,105.44,102.85,1726300
2019-02-13,105.87,106.15,104.75,105.01,102.43,1181000
2019-02-14,105.08,106.52,104.48,106.2,103.59,1993500
2019-02-15,106.94,107.15,105.85,106.49,103.88,1675900
2019-02-19,106.17,106.94,105.7,106.28,103.67,1187400
2019-02-20,106.4,106.99,105.09,105.37,102.78,2208100
2019-02-21,105.31,105.31,104.36,104.99,102.41,1710700
2019-02-22,105.59,105.75,104.44,105.19,102.61,1541500
2019-02-25,105.78,105.94,105.15,105.47,102.88,2060900
2019-02-26,105.46,106.33,104.95,105.43,102.84,1835200
2019-02-27,105.04,105.74,104.77,105.36,102.77,1375400
2019-02-28,105.32,106.04,104.79,105.5,102.91,2078500
2019-03-01,106.37,106.58,105.14,106.04,103.44,2261800
2019-03-04,106.78,107.0,104.0,104.92,102.34,2484600
2019-03-05,104.94,105.28,104.27,104.38,101.82,1941300
2019-03-06,104.52,105.07,103.29,103.63,101.09,1594100
2019-03-07,103.12,103.66,102.4,102.87,100.68,2116100
2019-03-08,102.15,102.97,98.15,99.98,97.86,7005700
2019-03-11,100.33,100.78,99.63,100.14,98.01,2769700
2019-03-12,100.53,100.53,99.0,100.2,98.07,3126600
2019-03-13,100.2,101.53,100.18,100.56,98.42,2757600
2019-03-14,100.55,102.14,100.4,101.66,99.5,2920100
2019-03-15,101.85,102.43,100.67,100.88,98.74,3839500
2019-03-18,100.88,102.02,100.78,101.56,99.4,1914400
2019-03-19,101.76,102.01,100.92,101.26,99.11,2046300
2019-03-20,101.23,101.79,100.16,100.48,98.35,1767300
2019-03-21,100.39,101.87,100.09,101.7,99.54,1761800
2019-03-22,101.34,101.82,100.02,100.46,98.33,2085300
2019-03-25,100.18,100.31,98.86,99.1,96.99,2909900
2019-03-26,99.65,100.62,99.04,99.99,97.87,3165800
2019-03-27,99.93,100.86,98.76,99.35,97.24,1772300
2019-03-28,99.43,99.92,98.53,99.45,97.34,2366100
2019-03-29,100.07,100.4,99.31,99.66,97.54,2836700
2019-04-01,100.0,100.9,99.01,99.69,97.57,3001000
2019-04-02,99.7,100.25,99.11,100.13,98.0,2385000
2019-04-03,100.49,107.15,99.6,102.48,100.3,7862300
2019-04-04,102.67,103.16,99.23,100.01,97.89,3839800
2019-04-05,100.33,101.39,100.01,100.98,98.83,2256700
2019-04-08,100.68,101.62,100.35,100.93,98.79,1654600
2019-04-09,100.78,101.7,100.21,101.35,99.2,1544600
2019-04-10,101.42,102.19,101.15,101.56,99.4,1376800
2019-04-11,101.86,102.05,101.13,101.91,99.74,1173700
2019-04-12,102.0,102.83,101.26,102.27,100.1,1337800
2019-04-15,102.28,102.83,101.89,102.25,100.08,1244800
2019-04-16,102.45,102.93,101.34,101.77,99.61,1594900
2019-04-17,102.03,102.28,99.99,100.2,98.07,1980300
2019-04-18,100.35,100.35,98.72,100.11,97.98,2223600
2019-04-22,99.65,100.17,99.32,99.85,97.73,1299100
2019-04-23,100.18,101.52,99.92,100.88,98.74,2303800
2019-04-24,101.48,101.93,100.11,100.46,98.33,2234400
2019-04-25,99.52,100.17,96.81,99.52,97.41,2806400
2019-04-26,99.32,101.41,98.87,100.98,98.83,2180300
2019-04-29,100.9,101.72,100.51,100.82,98.68,2284600
2019-04-30,100.81,101.28,100.1,100.96,98.82,1694600
2019-05-01,101.0,101.37,100.26,100.78,98.64,2384100
2019-05-02,101.14,101.14,99.13,99.25,97.14,1972600
2019-05-03,99.46,99.89,98.66,99.15,97.04,1248800
2019-05-06,97.67,98.8,96.98,98.38,96.29,1489100
2019-05-07,97.58,97.91,96.98,97.54,95.47,1911900
2019-05-08,97.39,97.7,96.5,97.54,95.47,1098300
2019-05-09,96.49,97.35,95.76,96.87,94.81,2079300
2019-05-10,96.58,97.43,95.28,97.19,95.13,1501300
2019-05-13,95.6,96.36,95.0,95.35,93.32,2843300
2019-05-14,95.64,96.59,95.38,95.82,93.78,1673500
2019-05-15,95.72,96.63,95.46,96.04,94.0,1352400
2019-05-16,96.39,97.2,95.92,96.58,94.53,1463600
2019-05-17,96.28,96.57,95.64,95.8,93.76,1612300
2019-05-20,95.14,95.37,94.17,95.07,93.05,1398800
2019-05-21,95.78,96.16,95.56,95.66,93.63,1171400
2019-05-22,95.32,96.83,95.0,96.13,94.09,1188000
2019-05-23,95.25,95.71,94.65,95.19,93.17,2183000
2019-05-24,95.67,95.8,93.99,94.65,92.64,1347800
2019-05-28,94.98,95.66,94.52,94.99,92.97,3789400
2019-05-29,94.75,95.07,94.01,94.39,92.38,1410200
2019-05-30,94.5,95.15,94.23,94.74,92.73,928200
2019-05-31,93.71,94.33,93.56,94.12,92.12,1844400
2019-06-03,93.99,94.49,93.12,93.48,91.49,2050700
2019-06-04,94.61,94.84,93.54,94.36,92.36,1983000
2019-06-05,95.11,95.73,93.93,94.93,92.91,1365600
2019-06-06,96.4,96.46,95.15,95.36,93.68,1854400
2019-06-07,95.81,96.53,95.55,95.86,94.17,1202700
2019-06-10,96.49,96.78,95.78,95.98,94.29,1273900
2019-06-11,96.43,96.68,95.49,95.84,94.15,1093300
2019-06-12,95.6,96.9,94.5,96.54,94.84,1541100
2019-06-13,96.94,98.39,96.64,96.75,95.04,1360300
2019-06-14,96.37,97.04,96.0,96.79,95.08,1213800
2019-06-17,97.16,98.33,96.91,97.11,95.4,2100600
2019-06-18,97.81,98.66,97.55,97.7,95.98,1592800
2019-06-19,98.04,99.1,97.23,98.94,97.2,2083700
2019-06-20,100.07,100.73,99.12,99.38,97.63,1987900
2019-06-21,99.63,100.0,99.11,99.79,98.03,3040200
2019-06-24,100.0,100.37,99.45,99.58,97.83,1574000
2019-06-25,99.61,99.67,97.96,98.16,96.43,1855600
2019-06-26,98.58,98.93,97.24,97.4,95.68,1558000
2019-06-27,97.65,98.43,97.47,97.72,96.0,780500
2019-06-28,97.87,98.29,97.54,98.14,96.41,1969800
2019-07-01,99.44,99.89,98.07,98.38,96.65,1542700
2019-07-02,98.37,99.32,98.2,99.29,97.54,1492000
2019-07-03,99.81,99.97,99.01,99.69,97.93,1043400
2019-07-05,99.15,99.9,98.25,99.83,98.07,1424900
2019-07-08,99.72,99.81,98.43,98.98,97.24,1828400
2019-07-09,97.86,98.98,97.86,98.96,97.22,1180400
2019-07-10,99.21,100.29,99.21,99.64,97.88,1542500
2019-07-11,99.85,99.93,98.98,99.69,97.93,1570100
2019-07-12,99.94,101.17,99.93,100.84,99.06,1595900
2019-07-15,101.14,101.66,100.84,101.53,99.74,1528700
2019-07-16,101.48,101.67,100.64,100.85,99.07,1295400
2019-07-17,101.0,101.13,100.11,100.57,98.8,1547900
2019-07-18,100.5,101.95,100.04,101.73,99.94,2225800
2019-07-19,101.96,102.62,101.03,101.21,99.43,2051800
2019-07-22,101.29,102.05,100.72,101.54,99.75,1539600
2019-07-23,101.79,101.96,100.35,100.88,99.1,1301600
2019-07-24,100.98,101.34,100.26,100.72,98.94,1830700
2019-07-25,96.94,97.27,94.85,95.07,93.39,10151900
2019-07-26,95.26,96.53,94.77,95.59,93.91,3051400
2019-07-29,95.54,95.88,94.25,95.31,93.63,1964500
2019-07-30,94.81,95.24,94.27,95.13,93.45,2479700
2019-07-31,95.03,95.29,93.33,94.24,92.58,2432200
2019-08-01,94.62,95.13,93.76,94.25,92.59,2511200
2019-08-02,93.81,94.3,93.19,93.54,91.89,2817000
2019-08-05,92.5,92.94,91.62,92.03,90.41,3571600
2019-08-06,92.33,92.67,90.7,91.61,90.0,3671700
2019-08-07,90.87,91.62,90.28,91.4,89.79,3223800
2019-08-08,92.04,92.54,91.65,92.42,90.79,2884000
2019-08-09,92.06,92.51,91.07,91.98,90.36,1918000
2019-08-12,91.49,91.81,91.17,91.22,89.61,2835700
2019-08-13,91.13,92.61,90.57,92.3,90.67,2266400
2019-08-14,91.4,92.06,90.98,91.29,89.68,2035900
2019-08-15,91.35,92.14,91.07,91.51,89.9,1957400
2019-08-16,92.35,92.88,92.1,92.44,90.81,1905300
2019-08-19,93.37,93.5,91.75,92.51,90.88,3091900
2019-08-20,92.31,92.93,91.88,91.89,90.27,1939600
2019-08-21,92.58,93.0,92.34,92.71,91.08,1389600
2019-08-22,92.71,93.22,92.35,92.94,91.3,1206300
2019-08-23,92.76,93.29,91.38,91.46,89.85,2279500
2019-08-26,92.15,92.6,91.72,92.19,90.57,1365400
2019-08-27,92.77,92.79,92.11,92.41,90.78,1803700
2019-08-28,92.04,92.78,91.19,92.12,90.5,1281200
2019-08-29,92.85,93.31,92.59,92.76,91.13,1226800
2019-08-30,93.49,93.63,92.63,92.98,91.34,1254300
2019-09-03,92.34,92.9,92.11,92.9,91.26,1405300
2019-09-04,93.71,93.71,92.87,93.17,91.53,1078400
2019-09-05,93.65,94.97,93.36,94.35,93.04,2171200
2019-09-06,94.51,95.17,94.27,94.41,93.1,1452800
2019-09-09,94.74,95.14,94.24,94.97,93.65,2114500
2019-09-10,94.58,95.79,94.23,95.76,94.43,1535400
2019-09-11,96.04,96.76,95.59,96.5,95.16,1575800
2019-09-12,96.94,97.35,96.48,96.53,95.19,1604300
2019-09-13,96.37,96.68,95.57,95.95,94.61,1506800
2019-09-16,95.66,96.78,95.12,96.64,95.29,1480400
2019-09-17,96.53,96.77,95.39,95.72,94.39,1756600
2019-09-18,95.73,96.91,95.37,96.72,95.37,1556300
2019-09-19,96.64,97.22,95.97,96.45,95.11,1506100
2019-09-20,96.22,97.12,96.12,96.97,95.62,3237900
2019-09-23,96.76,97.17,96.23,96.25,94.91,1300900
2019-09-24,96.51,96.84,94.68,95.16,93.84,2117900
2019-09-25,95.42,96.15,94.36,95.97,94.63,1370400
2019-09-26,96.13,96.59,95.62,95.84,94.51,1698300
2019-09-27,96.42,96.65,94.99,95.81,94.48,1572200
2019-09-30,95.89,96.94,95.76,96.52,95.18,1440500
2019-10-01,96.95,97.39,95.71,96.03,94.69,1677900
2019-10-02,95.3,95.7,94.75,95.18,93.86,1825700
2019-10-03,95.04,95.92,94.17,95.69,94.36,1437000
2019-10-04,96.11,96.74,95.68,96.51,95.17,1291700
2019-10-07,96.23,97.58,95.58,96.8,95.45,2565800
2019-10-08,96.07,96.54,94.2,95.78,94.45,1482600
2019-10-09,96.63,96.92,95.99,96.59,95.25,1020900
2019-10-10,96.29,97.33,96.29,96.96,95.61,1198400
2019-10-11,98.0,99.46,97.45,98.22,96.85,1157800
2019-10-14,98.13,98.88,97.68,98.29,96.92,1004600
2019-10-15,98.76,99.77,98.45,99.45,98.07,1049700
2019-10-16,99.04,99.94,98.34,99.93,98.54,1178400
2019-10-17,99.91,100.86,99.09,100.79,99.39,963300
2019-10-18,100.79,101.95,100.51,101.52,100.11,2334500
2019-10-21,101.65,103.96,101.65,103.19,101.75,2003000
2019-10-22,103.29,104.36,103.22,104.1,102.65,1598200
2019-10-23,104.24,104.59,103.35,103.67,102.23,2049400
2019-10-24,106.98,108.46,105.0,107.77,106.27,3182800
2019-10-25,108.12,108.12,104.32,105.64,104.17,2957500
2019-10-28,105.53,107.11,105.38,106.87,105.38,1590300
2019-10-29,107.04,107.58,106.74,107.17,105.68,1795300
2019-10-30,107.36,108.85,106.99,108.82,107.31,1643600
2019-10-31,108.58,108.97,108.16,108.86,107.34,1421900
2019-11-01,109.07,109.93,108.6,109.54,108.02,1510000
2019-11-04,109.57,110.06,109.22,109.25,107.73,1437400
2019-11-05,109.79,110.03,108.64,108.79,107.28,2124500
2019-11-06,108.74,109.89,108.6,109.59,108.06,1467200
2019-11-07,109.9,110.35,109.35,110.11,108.58,2039000
2019-11-08,109.95,110.76,109.6,110.73,109.19,1139400
2019-11-11,110.65,111.51,110.31,111.31,109.76,1546100
2019-11-12,111.57,111.81,111.03,111.43,109.88,1909500
2019-11-13,111.05,112.26,111.05,111.94,110.38,989200
2019-11-14,111.46,111.93,111.14,111.39,109.84,1213900
2019-11-15,111.9,112.67,111.4,112.59,111.02,2285400
2019-11-18,112.61,112.88,112.22,112.55,110.98,1458800
2019-11-19,113.06,113.7,112.48,113.33,111.75,1481900
2019-11-20,113.08,113.69,112.48,112.92,111.35,1536000
2019-11-21,113.05,113.45,112.5,113.24,111.66,1876000
2019-11-22,113.38,114.29,112.96,113.75,112.17,1800200
2019-11-25,114.16,114.73,113.91,114.04,112.45,1423700
2019-11-26,114.24,114.65,113.16,113.97,112.38,7134700
2019-11-27,114.28,114.28,112.68,113.52,111.94,1523900
2019-11-29,113.01,113.14,112.55,112.81,111.24,1147700
2019-12-02,112.48,112.74,110.89,111.91,110.35,1462900
2019-12-03,111.55,111.59,110.24,111.22,109.67,2036300
2019-12-04,111.24,111.97,110.74,110.87,109.33,980400
2019-12-05,110.8,110.95,110.3,110.78,109.58,874800
2019-12-06,111.39,111.74,110.61,110.62,109.43,1063900
2019-12-09,110.35,111.2,110.28,110.33,109.14,1323600
2019-12-10,110.22,110.65,109.59,109.68,108.5,1216600
2019-12-11,109.96,110.23,109.29,109.45,108.27,1190800
2019-12-12,109.24,110.33,108.86,110.3,109.11,1595100
2019-12-13,109.93,110.67,109.77,110.35,109.16,1032600
2019-12-16,110.72,111.77,110.66,111.7,110.49,1873000
2019-12-17,111.66,112.25,111.06,111.21,110.01,1147200
2019-12-18,111.01,111.89,110.84,111.27,110.07,1133400
2019-12-19,111.42,112.13,111.14,111.82,110.61,809300
2019-12-20,112.25,112.25,110.97,111.06,109.86,2323400
2019-12-23,111.22,111.48,110.05,110.16,108.97,1000800
2019-12-24,110.53,111.0,110.16,110.67,109.48,520900
