Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,1050.96,1052.7,1023.59,1035.61,1035.61,1493300
2019-01-02,1016.57,1052.32,1015.71,1045.85,1045.85,1532600
2019-01-03,1041.0,1056.98,1014.07,1016.06,1016.06,1841100
2019-01-04,1032.59,1070.84,1027.42,1070.71,1070.71,2093900
2019-01-07,1071.5,1074.0,1054.76,1068.39,1068.39,1981900
2019-01-08,1076.11,1084.56,1060.53,1076.28,1076.28,1764900
2019-01-09,1081.65,1082.63,1066.4,1074.66,1074.66,1199300
2019-01-10,1067.66,1071.15,1057.71,1070.33,1070.33,1456400
2019-01-11,1063.18,1063.78,1048.48,1057.19,1057.19,1520800
2019-01-14,1046.92,1051.53,1041.26,1044.69,1044.69,1144300
2019-01-15,1050.17,1080.05,1047.34,1077.15,1077.15,1463600
2019-01-16,1080.0,1092.38,1079.34,1080.97,1080.97,1331800
2019-01-17,1079.47,1091.8,1073.5,1089.9,1089.9,1242700
2019-01-18,1100.0,1108.35,1090.9,1098.26,1098.26,1955600
2019-01-22,1088.0,1091.51,1063.47,1070.52,1070.52,1613500
2019-01-23,1077.35,1084.93,1059.75,1075.57,1075.57,967000
2019-01-24,1076.48,1079.47,1060.7,1073.9,1073.9,1361300
2019-01-25,1085.0,1094.0,1081.82,1090.99,1090.99,1119100
2019-01-28,1080.11,1083.0,1063.8,1070.08,1070.08,1284300
2019-01-29,1072.68,1075.15,1055.86,1060.62,1060.62,1021800
2019-01-30,1068.43,1091.0,1066.85,1089.06,1089.06,1279800
2019-01-31,1103.0,1117.33,1095.41,1116.37,1116.37,1538300
2019-02-01,1112.4,1125.0,1104.89,1110.75,1110.75,1462200
2019-02-04,1112.66,1132.8,1109.02,1132.8,1132.8,2576500
2019-02-05,1124.84,1146.85,1117.25,1145.99,1145.99,3552200
2019-02-06,1139.57,1147.0,1112.77,1115.23,1115.23,2105600
2019-02-07,1104.16,1104.84,1086.0,1098.71,1098.71,2044800
2019-02-08,1087.0,1098.91,1086.55,1095.06,1095.06,1075800
2019-02-11,1096.95,1105.94,1092.86,1095.01,1095.01,1065200
2019-02-12,1106.8,1125.3,1105.85,1121.37,1121.37,1609100
2019-02-13,1124.99,1134.73,1118.5,1120.16,1120.16,1049800
2019-02-14,1118.05,1128.23,1110.44,1121.67,1121.67,947600
2019-02-15,1130.08,1131.67,1110.65,1113.65,1113.65,1449800
2019-02-19,1110.0,1121.89,1110.0,1118.56,1118.56,1046400
2019-02-20,1119.99,1123.41,1105.28,1113.8,1113.8,1087800
2019-02-21,1110.84,1111.94,1092.52,1096.97,1096.97,1415100
2019-02-22,1100.9,1111.24,1095.6,1110.37,1110.37,1049500
2019-02-25,1116.0,1118.54,1107.27,1109.4,1109.4,1413100
2019-02-26,1105.75,1119.51,1099.92,1115.13,1115.13,1471300
2019-02-27,1106.95,1117.98,1101.0,1116.05,1116.05,968400
2019-02-28,1111.3,1127.65,1111.01,1119.92,1119.92,1542500
2019-03-01,1124.9,1142.97,1124.75,1140.99,1140.99,1450300
2019-03-04,1146.99,1158.28,1130.69,1147.8,1147.8,1446000
2019-03-05,1150.06,1169.61,1146.19,1162.03,1162.03,1443200
2019-03-06,1162.49,1167.57,1155.49,1157.86,1157.86,1099300
2019-03-07,1155.72,1156.76,1134.91,1143.3,1143.3,1166600
2019-03-08,1126.73,1147.08,1123.3,1142.32,1142.32,1212400
2019-03-11,1144.45,1176.19,1144.45,1175.76,1175.76,1719200
2019-03-12,1178.26,1200.0,1178.26,1193.2,1193.2,2013100
2019-03-13,1200.65,1200.93,1191.94,1193.32,1193.32,1435900
2019-03-14,1194.51,1197.88,1184.48,1185.55,1185.55,1172800
2019-03-15,1193.38,1196.57,1182.61,1184.46,1184.46,2461800
2019-03-18,1183.3,1190.0,1177.42,1184.26,1184.26,1292600
2019-03-19,1188.81,1200.0,1185.87,1198.85,1198.85,1520700
2019-03-20,1197.35,1227.14,1196.17,1223.97,1223.97,2227400
2019-03-21,1216.0,1231.79,1213.15,1231.54,1231.54,1204000
2019-03-22,1226.32,1230.0,1202.82,1205.5,1205.5,1714200
2019-03-25,1196.93,1206.4,1187.04,1193.0,1193.0,1496800
2019-03-26,1198.53,1202.83,1176.72,1184.62,1184.62,1901200
2019-03-27,1185.5,1187.56,1159.37,1173.02,1173.02,1400200
2019-03-28,1171.54,1171.56,1159.43,1168.49,1168.49,1012400
2019-03-29,1174.9,1178.99,1162.88,1173.31,1173.31,1269900
2019-04-01,1184.1,1196.66,1182.0,1194.43,1194.43,1252500
2019-04-02,1195.32,1201.35,1185.71,1200.49,1200.49,827900
2019-04-03,1207.48,1216.3,1200.5,1205.92,1205.92,1017800
2019-04-04,1205.94,1215.67,1204.13,1215.0,1215.0,950000
2019-04-05,1214.99,1216.22,1205.03,1207.15,1207.15,907200
2019-04-08,1207.89,1208.69,1199.86,1203.84,1203.84,860200
2019-04-09,1196.0,1202.29,1193.08,1197.25,1197.25,876400
2019-04-10,1200.68,1203.79,1196.44,1202.16,1202.16,724600
2019-04-11,1203.96,1207.96,1200.13,1204.62,1204.62,710200
2019-04-12,1210.0,1218.35,1208.11,1217.87,1217.87,933400
2019-04-15,1218.0,1224.2,1209.11,1221.1,1221.1,1187400
2019-04-16,1225.0,1230.82,1220.12,1227.13,1227.13,856300
2019-04-17,1233.0,1240.56,1227.82,1236.34,1236.34,1221900
2019-04-18,1239.18,1242.0,1234.61,1236.37,1236.37,1331800
2019-04-22,1235.99,1249.09,1228.31,1248.84,1248.84,807300
2019-04-23,1250.69,1269.0,1246.38,1264.55,1264.55,1319900
2019-04-24,1264.12,1268.01,1255.0,1256.0,1256.0,1018800
2019-04-25,1264.77,1267.41,1252.03,1263.45,1263.45,1107300
2019-04-26,1269.0,1273.07,1260.32,1272.18,1272.18,1241400
2019-04-29,1274.0,1289.27,1266.3,1287.58,1287.58,2499400
2019-04-30,1185.0,1192.81,1175.0,1188.48,1188.48,6207000
2019-05-01,1188.05,1188.05,1167.18,1168.08,1168.08,2639200
2019-05-02,1167.76,1174.19,1155.0,1162.61,1162.61,1944800
2019-05-03,1173.65,1186.8,1169.0,1185.4,1185.4,1980700
2019-05-06,1166.26,1190.85,1166.26,1189.39,1189.39,1563900
2019-05-07,1180.47,1190.44,1161.04,1174.1,1174.1,1551400
2019-05-08,1172.01,1180.42,1165.74,1166.27,1166.27,1309300
2019-05-09,1159.03,1169.66,1150.85,1162.38,1162.38,1185700
2019-05-10,1163.59,1172.6,1142.5,1164.27,1164.27,1314500
2019-05-13,1141.96,1147.94,1122.11,1132.03,1132.03,1860600
2019-05-14,1137.21,1140.42,1119.55,1120.44,1120.44,1836600
2019-05-15,1117.87,1171.33,1116.67,1164.21,1164.21,2289300
2019-05-16,1164.51,1188.16,1162.84,1178.98,1178.98,1531400
2019-05-17,1168.47,1180.15,1160.01,1162.3,1162.3,1208600
2019-05-20,1144.5,1146.8,1131.44,1138.85,1138.85,1353300
2019-05-21,1148.49,1152.71,1137.94,1149.63,1149.63,1159800
2019-05-22,1146.75,1158.52,1145.89,1151.42,1151.42,914500
2019-05-23,1140.5,1145.97,1129.22,1140.77,1140.77,1198900
2019-05-24,1147.36,1149.77,1131.66,1133.47,1133.47,1112000
2019-05-28,1134.0,1151.59,1133.12,1134.15,1134.15,1365000
2019-05-29,1127.52,1129.1,1108.22,1116.46,1116.46,1538200
2019-05-30,1115.54,1123.13,1112.12,1117.95,1117.95,951900
2019-05-31,1101.29,1109.6,1100.18,1103.63,1103.63,1507800
2019-06-03,1065.5,1065.5,1025.0,1036.23,1036.23,5130600
2019-06-04,1042.9,1056.05,1033.69,1053.05,1053.05,2833500
2019-06-05,1051.54,1053.55,1030.49,1042.22,1042.22,2168400
2019-06-06,1044.99,1047.49,1033.7,1044.34,1044.34,1703200
2019-06-07,1050.63,1070.92,1048.4,1066.04,1066.04,1802400
2019-06-10,1072.98,1092.66,1072.32,1080.38,1080.38,1464200
2019-06-11,1093.98,1101.99,1077.6,1078.72,1078.72,1436700
2019-06-12,1078.0,1080.93,1067.54,1077.03,1077.03,1061000
2019-06-13,1083.64,1094.17,1080.15,1088.77,1088.77,1057700
2019-06-14,1086.42,1092.69,1080.17,1085.35,1085.35,1111500
2019-06-17,1086.28,1099.18,1086.28,1092.5,1092.5,941600
2019-06-18,1109.69,1116.39,1098.99,1103.6,1103.6,1386700
2019-06-19,1105.6,1107.0,1093.48,1102.33,1102.33,1338800
2019-06-20,1119.99,1120.12,1104.74,1111.42,1111.42,1262000
2019-06-21,1109.24,1124.11,1108.08,1121.88,1121.88,1947600
2019-06-24,1119.61,1122.0,1111.01,1115.52,1115.52,1395600
2019-06-25,1112.66,1114.35,1083.8,1086.35,1086.35,1546900
2019-06-26,1086.5,1092.97,1072.24,1079.8,1079.8,1810900
2019-06-27,1084.0,1087.1,1075.29,1076.01,1076.01,1004300
2019-06-28,1076.39,1081.0,1073.37,1080.91,1080.91,1693200
